symbol,company,market_cap,policy_date,tier_kind,tier_name,associates,question,answer,mechanism,clause,definition,section,reasoning
BHP,BHP Group Limited,339826752284,2024-10-01,senior,Persons discharging managerial responsibilities (PDMRs),covered,borrow_against_stock,permitted_with_pre_approval,via_definition,must request clearance before dealing in BHP securities from the Group Company Secretary by submitting a Securities Dealing Clearance Request Form.,entry into any margin lending or other secured financing arrangement.,4,"Margin lending is expressly named within the dealing definition, so a PDMR must obtain clearance before entering a margin loan secured on vested shares; the unvested-collateral ban does not reach vested shares."
BHP,BHP Group Limited,339826752284,2024-10-01,senior,Persons discharging managerial responsibilities (PDMRs),covered,borrow_against_derivative,not_mentioned_implicitly_permitted,none,"Dealing includes any transaction or change affecting title to or interest in securities, including:",,3,"The dealing definition and clearance regime turn on transactions affecting title to or interest in securities; a loan secured on a derivative rather than the shares themselves is not addressed, and there is no wording about financing in respect of securities generally, so this is unaddressed even for PDMRs."
BHP,BHP Group Limited,339826752284,2024-10-01,senior,Persons discharging managerial responsibilities (PDMRs),covered,stock_loan,permitted_with_pre_approval,via_definition,must request clearance before dealing in BHP securities from the Group Company Secretary by submitting a Securities Dealing Clearance Request Form.,"entry into, termination of, assignment of, or novation of any stock lending agreement",4,"Entry into a stock lending agreement is expressly part of the dealing definition, so a PDMR must obtain clearance before lending vested shares; this is distinct from the express short-selling ban, which addresses borrowing shares to sell short rather than lending them out."
BHP,BHP Group Limited,339826752284,2024-10-01,senior,Persons discharging managerial responsibilities (PDMRs),covered,lender_enforcement,permitted_with_pre_approval,express,"exceptional circumstances, such as severe financial difficulty or compulsion by court order, exist which require the immediate sale of shares",,6,"Section 6 allows clearance to deal during a closed period where exceptional circumstances such as severe financial difficulty require an immediate sale of shares, which covers a lender's forced sale on default; determination is reserved to the Group Company Secretary or Board Chair, and outside closed periods the general PDMR clearance requirement applies to any disposal."
CBA,Commonwealth Bank of Australia,266331534276,2024-09-30,general,"All full-time, part-time and casual employees, contractors, secondees, and directors of CBA and its subsidiaries",covered,cash_hedge,not_mentioned_implicitly_permitted,none,"Insider Trading is prohibited in all circumstances, whether in relation to Group Securities or other Securities, regardless of any Pre-Clearance, exception or other provision of this Policy.",,"Policy statement, 1","The hedging bans in paragraphs 8 and 9 bind only Specified Persons and, for vested shares specifically, only CBA Board directors, Group Company Secretaries and Group Executives; ordinary employees, contractors and secondees are bound only by the blanket insider trading prohibition, so a cash-settled hedge over vested shares is unaddressed for them."
CBA,Commonwealth Bank of Australia,266331534276,2024-09-30,general,"All full-time, part-time and casual employees, contractors, secondees, and directors of CBA and its subsidiaries",covered,physical_hedge,not_mentioned_implicitly_permitted,none,"Insider Trading is prohibited in all circumstances, whether in relation to Group Securities or other Securities, regardless of any Pre-Clearance, exception or other provision of this Policy.",,"Policy statement, 1","The same hedging bans, which would catch either settlement method, do not extend to the general workforce, so a physically settled hedge over vested shares is unaddressed for ordinary employees, contractors and secondees."
CBA,Commonwealth Bank of Australia,266331534276,2024-09-30,general,"All full-time, part-time and casual employees, contractors, secondees, and directors of CBA and its subsidiaries",covered,encumber,not_mentioned_implicitly_permitted,none,"Insider Trading is prohibited in all circumstances, whether in relation to Group Securities or other Securities, regardless of any Pre-Clearance, exception or other provision of this Policy.",,"Policy statement, 1","The prohibition on using Group Securities as security for margin lending or other secured financing binds only Specified Persons and their Associates, so pledging vested shares is unaddressed for the wider workforce."
CBA,Commonwealth Bank of Australia,266331534276,2024-09-30,general,"All full-time, part-time and casual employees, contractors, secondees, and directors of CBA and its subsidiaries",covered,borrow_against_stock,not_mentioned_implicitly_permitted,none,"Insider Trading is prohibited in all circumstances, whether in relation to Group Securities or other Securities, regardless of any Pre-Clearance, exception or other provision of this Policy.",,"Policy statement, 1","The margin lending and secured-financing ban in paragraph 16(a) is expressly confined to Specified Persons and their Associates, leaving ordinary employees, contractors and secondees unaddressed."
CBA,Commonwealth Bank of Australia,266331534276,2024-09-30,general,"All full-time, part-time and casual employees, contractors, secondees, and directors of CBA and its subsidiaries",covered,borrow_against_derivative,not_mentioned_implicitly_permitted,none,"Insider Trading is prohibited in all circumstances, whether in relation to Group Securities or other Securities, regardless of any Pre-Clearance, exception or other provision of this Policy.",,"Policy statement, 1","No provision addresses financing secured on a derivative rather than on Group Securities themselves, and in any event the wider workforce sits outside the Specified Person regime altogether."
CBA,Commonwealth Bank of Australia,266331534276,2024-09-30,general,"All full-time, part-time and casual employees, contractors, secondees, and directors of CBA and its subsidiaries",covered,stock_loan,not_mentioned_implicitly_permitted,none,"Insider Trading is prohibited in all circumstances, whether in relation to Group Securities or other Securities, regardless of any Pre-Clearance, exception or other provision of this Policy.",,"Policy statement, 1","The stock lending ban in paragraph 16(c) is expressly confined to Specified Persons and their Associates, so lending vested shares is unaddressed for the general workforce."
CBA,Commonwealth Bank of Australia,266331534276,2024-09-30,general,"All full-time, part-time and casual employees, contractors, secondees, and directors of CBA and its subsidiaries",covered,lender_enforcement,not_mentioned_implicitly_permitted,none,"Insider Trading is prohibited in all circumstances, whether in relation to Group Securities or other Securities, regardless of any Pre-Clearance, exception or other provision of this Policy.",,"Policy statement, 1","The forced-sale/breach language in paragraph 16(a) and the Trading Window exception process both apply only to Specified Persons, so a lender's enforcement sale is unaddressed for the general workforce."
CBA,Commonwealth Bank of Australia,266331534276,2024-09-30,senior,"CBA Board directors, Group Company Secretaries and Group Executives",covered,cash_hedge,never_permitted,express,"In addition, the CBA Board directors, Group Company Secretaries, Group Executives, and each of their Associates, must not enter into a transaction that limits the economic risk of their exposure to any vested Group Securities.",,"Hedging, 9","Unlike the narrower unvested/locked-only ban that binds all Specified Persons, paragraph 9 imposes an outright ban on this tier entering any transaction that limits the economic risk of a vested holding, which directly covers a cash-settled collar, put or swap."
CBA,Commonwealth Bank of Australia,266331534276,2024-09-30,senior,"CBA Board directors, Group Company Secretaries and Group Executives",covered,physical_hedge,never_permitted,express,"In addition, the CBA Board directors, Group Company Secretaries, Group Executives, and each of their Associates, must not enter into a transaction that limits the economic risk of their exposure to any vested Group Securities.",,"Hedging, 9","A hedging ban framed as limiting economic risk catches both cash and physically settled structures, so a physically settled collar or put over vested Group Securities is equally banned for this tier."
CBA,Commonwealth Bank of Australia,266331534276,2024-09-30,senior,"CBA Board directors, Group Company Secretaries and Group Executives",covered,encumber,never_permitted,express,"use Group Securities as security for margin lending or other secured financing arrangements, as a forced sale may lead to the breach of this Policy",,16(a),"This tier, as Specified Persons, is expressly banned from using Group Securities as security for margin lending or any other secured financing arrangement, which covers pledging or mortgaging vested shares."
CBA,Commonwealth Bank of Australia,266331534276,2024-09-30,senior,"CBA Board directors, Group Company Secretaries and Group Executives",covered,borrow_against_stock,never_permitted,express,"use Group Securities as security for margin lending or other secured financing arrangements, as a forced sale may lead to the breach of this Policy",,16(a),"The same clause expressly bans using Group Securities as security for margin lending or other secured financing, directly prohibiting a margin loan or similar borrowing secured on vested shares."
CBA,Commonwealth Bank of Australia,266331534276,2024-09-30,senior,"CBA Board directors, Group Company Secretaries and Group Executives",covered,borrow_against_derivative,not_mentioned_implicitly_permitted,none,"use Group Securities as security for margin lending or other secured financing arrangements, as a forced sale may lead to the breach of this Policy",,16(a),"Group Security is defined as a security issued by a Group member, so a bank-issued derivative such as a collar or put is not itself a Group Security; the ban only reaches financing secured on Group Securities themselves, leaving a loan secured on a derivative unaddressed."
CBA,Commonwealth Bank of Australia,266331534276,2024-09-30,senior,"CBA Board directors, Group Company Secretaries and Group Executives",covered,stock_loan,never_permitted,express,"enter into contracts for difference or use any instruments or enter any arrangements for short selling or stock lending of Group Securities, except to the extent covered by any of the “Exceptions to Trading Windows” in this Policy.",,16(c),"Stock lending of Group Securities is expressly named and banned outright for this tier, subject only to the narrow, listed Trading Window exceptions, none of which covers a securities loan."
CBA,Commonwealth Bank of Australia,266331534276,2024-09-30,senior,"CBA Board directors, Group Company Secretaries and Group Executives",covered,lender_enforcement,never_permitted,express,"use Group Securities as security for margin lending or other secured financing arrangements, as a forced sale may lead to the breach of this Policy",,16(a),"The clause expressly states that a forced sale arising from secured financing may itself amount to a breach of the Policy, so this tier is banned from a lender's enforcement sale rather than merely needing clearance for one."
NAB,National Australia Bank Limited,120018938963,2021-11-05,general,NAB People,covered,cash_hedge,permitted_with_pre_approval,express,"Accordingly, once Group Securities have vested (as described above), Derivatives may be used by NAB People in relation to those vested securities in the following circumstances:","Has the meaning given in s761D of the Corporations Act and includes options, forward contracts, futures, warrants, swaps, caps and collars",3.5.7,"A collar or put is a Derivative, and Derivatives over vested securities are confined to two narrow circumstances plus a case-by-case approval route open to all other NAB People, so a cash-settled hedge outside the narrow circumstances needs approval."
NAB,National Australia Bank Limited,120018938963,2021-11-05,general,NAB People,covered,physical_hedge,permitted_with_pre_approval,express,"Accordingly, once Group Securities have vested (as described above), Derivatives may be used by NAB People in relation to those vested securities in the following circumstances:","Has the meaning given in s761D of the Corporations Act and includes options, forward contracts, futures, warrants, swaps, caps and collars",3.5.7,"The same Derivatives gate applies regardless of settlement method, so a physically settled collar or put is likewise confined to the two narrow circumstances or a case-by-case approval."
NAB,National Australia Bank Limited,120018938963,2021-11-05,general,NAB People,covered,encumber,not_mentioned_implicitly_permitted,none,,,,"The only encumbrance-related rule, the Margin Loan Compliance Certificate in 3.4.2, is expressly carved out for everyone except Directors and Executive Leadership Team members, so no rule reaches ordinary NAB People."
NAB,National Australia Bank Limited,120018938963,2021-11-05,general,NAB People,covered,borrow_against_stock,not_mentioned_implicitly_permitted,none,,,,"Section 3.4.2's Margin Loan Compliance Certificate requirement is expressly limited to Directors and Executive Leadership Team members, leaving ordinary NAB People's margin borrowing unaddressed."
NAB,National Australia Bank Limited,120018938963,2021-11-05,general,NAB People,covered,borrow_against_derivative,not_mentioned_implicitly_permitted,none,,,,"Margin Loan is defined as NAB Securities themselves being mortgaged or charged, not a derivative over them, and there is no general rule on financing in respect of securities, so borrowing secured on a collar or put is not addressed."
NAB,National Australia Bank Limited,120018938963,2021-11-05,general,NAB People,covered,stock_loan,never_permitted,express,a NAB Person must not enter into any arrangements for short selling or stock lending in relation to Group Securities,,3.2.2,"Stock lending is named and banned outright for every NAB Person, with no tier carve-out."
NAB,National Australia Bank Limited,120018938963,2021-11-05,general,NAB People,covered,lender_enforcement,not_mentioned_implicitly_permitted,none,,,,"The only rule on a financier's forced sale, in 3.4.13, is expressly limited to Directors and Executive Leadership Team members, leaving ordinary NAB People unaddressed."
NAB,National Australia Bank Limited,120018938963,2021-11-05,senior,Key Management Personnel (Directors and Executive Leadership Team),covered,cash_hedge,permitted_with_pre_approval,express,"The use of Derivatives over vested Group Securities by Directors and Designated NAB Employees, like any other Trading in Group Securities, must comply with the law and with the Compliance Certificate process described in section 3.4 above.","Has the meaning given in s761D of the Corporations Act and includes options, forward contracts, futures, warrants, swaps, caps and collars",3.5.9,"Directors and Executive Leadership Team members must additionally submit a Compliance Certificate before entering into a Derivative transaction and cannot trade until NAB acknowledges it, on top of the same narrow-circumstances gate that applies generally."
NAB,National Australia Bank Limited,120018938963,2021-11-05,senior,Key Management Personnel (Directors and Executive Leadership Team),covered,physical_hedge,permitted_with_pre_approval,express,"The use of Derivatives over vested Group Securities by Directors and Designated NAB Employees, like any other Trading in Group Securities, must comply with the law and with the Compliance Certificate process described in section 3.4 above.","Has the meaning given in s761D of the Corporations Act and includes options, forward contracts, futures, warrants, swaps, caps and collars",3.5.9,The same Compliance Certificate gate and narrow-circumstances test apply to a physically settled collar or put as to a cash-settled one.
NAB,National Australia Bank Limited,120018938963,2021-11-05,senior,Key Management Personnel (Directors and Executive Leadership Team),covered,encumber,permitted_with_pre_approval,via_definition,"In addition, Directors and Executive Leadership Team members (but not other Designated NAB Employees) must submit a Compliance Certificate before they enter into a Margin Loan or agree to provide additional Group Securities as security for an existing Margin Loan.","A loan arrangement whereby NAB Securities are mortgaged, provided as security, lent, or charged to a financier.",3.4.2,"Encumbering vested shares happens by entering a Margin Loan, which the glossary defines as mortgaging, securing or charging shares to a financier, and Directors and Executive Leadership Team members need an acknowledged Compliance Certificate first."
NAB,National Australia Bank Limited,120018938963,2021-11-05,senior,Key Management Personnel (Directors and Executive Leadership Team),covered,borrow_against_stock,permitted_with_pre_approval,express,"In addition, Directors and Executive Leadership Team members (but not other Designated NAB Employees) must submit a Compliance Certificate before they enter into a Margin Loan or agree to provide additional Group Securities as security for an existing Margin Loan.","A loan arrangement whereby NAB Securities are mortgaged, provided as security, lent, or charged to a financier.",3.4.2,"A Margin Loan is expressly named and requires a Compliance Certificate, acknowledged by NAB, before a Director or Executive Leadership Team member enters into it."
NAB,National Australia Bank Limited,120018938963,2021-11-05,senior,Key Management Personnel (Directors and Executive Leadership Team),covered,borrow_against_derivative,not_mentioned_implicitly_permitted,none,,,,"Margin Loan is defined as NAB Securities themselves being mortgaged or charged, not a derivative over them, and there is no general rule on financing in respect of securities, so borrowing secured on a collar or put is not addressed even for this tier."
NAB,National Australia Bank Limited,120018938963,2021-11-05,senior,Key Management Personnel (Directors and Executive Leadership Team),covered,stock_loan,never_permitted,express,a NAB Person must not enter into any arrangements for short selling or stock lending in relation to Group Securities,,3.2.2,"Stock lending is named and banned outright for every NAB Person, with no exception for this tier."
NAB,National Australia Bank Limited,120018938963,2021-11-05,senior,Key Management Personnel (Directors and Executive Leadership Team),covered,lender_enforcement,permitted_with_notification,express,In certain circumstances (set out in the Group Disclosure and External Communications Policy) Directors and members of the Executive Leadership Team are required to inform the Group Company Secretary where a financier demands payment under a Margin Loan and there is a risk that the demand will not be able to be satisfied without the disposal of Group Securities.,,3.4.13,The policy treats a lender's forced sale as something to be reported to the Group Company Secretary rather than as a breach or something requiring pre-clearance.
WBC,Westpac Banking Corporation,117521621560,2021-02-05,general,Employees (non-Prescribed),covered,cash_hedge,explicitly_permitted,express,"You must not enter into any options, derivatives or other arrangements which operate to limit the economic risk of an unvested holding in Westpac securities or other unvested entitlements under employee share plans. This prohibition does not apply to vested holdings in Westpac securities, although approval or notification and other arrangements apply to Directors and Prescribed Employees dealing in vested securities (refer to Section 4 below).",,3.4,"The ban on hedging arrangements applies only to unvested holdings, and the clause says this does not apply to vested holdings, with approval or notification arrangements applying only to Directors and Prescribed Employees, a group ordinary employees fall outside of."
WBC,Westpac Banking Corporation,117521621560,2021-02-05,general,Employees (non-Prescribed),covered,physical_hedge,explicitly_permitted,express,"You must not enter into any options, derivatives or other arrangements which operate to limit the economic risk of an unvested holding in Westpac securities or other unvested entitlements under employee share plans. This prohibition does not apply to vested holdings in Westpac securities, although approval or notification and other arrangements apply to Directors and Prescribed Employees dealing in vested securities (refer to Section 4 below).",,3.4,"The same carve-out for vested holdings covers arrangements settled by delivery of shares as it covers any options, derivatives or other risk-limiting arrangement, and the approval/notification overlay is limited to Directors and Prescribed Employees."
WBC,Westpac Banking Corporation,117521621560,2021-02-05,general,Employees (non-Prescribed),covered,encumber,not_mentioned_implicitly_permitted,none,,,,"Pledging or granting security over shares is not addressed for ordinary employees; only Section 4, which applies solely to Directors and Prescribed Employees, deals with margin loans."
WBC,Westpac Banking Corporation,117521621560,2021-02-05,general,Employees (non-Prescribed),covered,borrow_against_stock,not_mentioned_implicitly_permitted,none,,,,"Margin loan rules in Section 4.8 apply expressly only to Westpac Directors and Prescribed Employees; Section 4 as a whole applies only to that group, so ordinary employees' borrowing against vested shares is unaddressed."
WBC,Westpac Banking Corporation,117521621560,2021-02-05,general,Employees (non-Prescribed),covered,borrow_against_derivative,not_mentioned_implicitly_permitted,none,,,,The Policy only discusses margin loans secured against Westpac securities themselves; it says nothing about loans secured against a derivative over the shares.
WBC,Westpac Banking Corporation,117521621560,2021-02-05,general,Employees (non-Prescribed),covered,stock_loan,not_mentioned_implicitly_permitted,none,,,,"There is no reference to lending securities, and the definition of securities/trading does not extend to a title-transfer stock loan."
WBC,Westpac Banking Corporation,117521621560,2021-02-05,general,Employees (non-Prescribed),covered,lender_enforcement,not_mentioned_implicitly_permitted,none,,,,"Blackout Periods under Section 4.3 and the forced-sale rule in Section 4.8 apply only to Westpac Directors and Prescribed Employees and their associates, not to ordinary employees, who are not otherwise restricted from trading outside insider-trading periods."
WBC,Westpac Banking Corporation,117521621560,2021-02-05,senior,Key Prescribed Employees,covered,cash_hedge,permitted_with_pre_approval,express,"Key Prescribed Employees must follow the pre-clearance requirements as set out in the Key Prescribed Employees Trading Process. Since Key Prescribed Employees must seek pre-clearance for trading in Westpac securities, they are not required to complete the online notification form as required for Prescribed Employees in section 4.4 of this Policy.",,"4.4, 4.5","Section 4.4 names ""entering into a hedging arrangement over vested Westpac securities"" as an act requiring notification; Section 4.5 replaces that notification with a pre-clearance requirement for Key Prescribed Employees, so a cash-settled hedge needs pre-clearance."
WBC,Westpac Banking Corporation,117521621560,2021-02-05,senior,Key Prescribed Employees,covered,physical_hedge,permitted_with_pre_approval,express,"Key Prescribed Employees must follow the pre-clearance requirements as set out in the Key Prescribed Employees Trading Process. Since Key Prescribed Employees must seek pre-clearance for trading in Westpac securities, they are not required to complete the online notification form as required for Prescribed Employees in section 4.4 of this Policy.",,"4.4, 4.5","The same ""hedging arrangement over vested Westpac securities"" language in Section 4.4 covers a physically settled collar or put, and Section 4.5 subjects Key Prescribed Employees to pre-clearance rather than mere notification for it."
WBC,Westpac Banking Corporation,117521621560,2021-02-05,senior,Key Prescribed Employees,covered,encumber,permitted_with_notification,via_definition,"In addition, Key Prescribed Employees are required to provide disclosure to the Group Control Room of any margin lending arrangements they may have in respect to Westpac securities.",,4.8,"Encumbering vested shares is not named as its own activity, but it is the necessary effect of the margin loans Section 4.8 permits, and Key Prescribed Employees must additionally disclose any such margin lending arrangement."
WBC,Westpac Banking Corporation,117521621560,2021-02-05,senior,Key Prescribed Employees,covered,borrow_against_stock,permitted_with_notification,express,"Westpac Directors and Prescribed Employees are permitted to take out margin loans over their holdings in Westpac securities, however margin calls are not to be met by the sale of Westpac securities at a time when they would not be permitted to trade Westpac securities under this Policy.",,4.8,"Margin loans over vested holdings are expressly permitted, and Key Prescribed Employees must additionally disclose any margin lending arrangements to the Group Control Room, making the permission conditional on notification."
WBC,Westpac Banking Corporation,117521621560,2021-02-05,senior,Key Prescribed Employees,covered,borrow_against_derivative,not_mentioned_implicitly_permitted,none,,,,Section 4.8 addresses only margin loans secured over Westpac securities themselves; a loan secured against a derivative over the shares is not addressed.
WBC,Westpac Banking Corporation,117521621560,2021-02-05,senior,Key Prescribed Employees,covered,stock_loan,not_mentioned_implicitly_permitted,none,,,,"The Policy has no provision on lending securities under a title-transfer arrangement, for Key Prescribed Employees or otherwise."
WBC,Westpac Banking Corporation,117521621560,2021-02-05,senior,Key Prescribed Employees,covered,lender_enforcement,never_permitted,express,"Westpac securities cannot be sold to meet a margin call during a Blackout Period or if you are in receipt of inside information relating to Westpac. If your margin lender sells any of your Westpac securities during a Blackout Period, whether on your instructions to do so or not, it will be considered a breach of this Policy.",,4.8,"The Policy makes a lender's forced sale during a Blackout Period a breach by the employee regardless of whether the employee instructed it, so enforcement in a closed period is never permitted."
ANZ,ANZ Group Holdings Limited,112614448954,2026-08-05,general,"Employees, contingent workers and ANZ Directors",covered,cash_hedge,not_mentioned_implicitly_permitted,none,"ANZ employees, contingent workers and ANZ Directors who have Inside Information must not Trade in ANZ Securities, advise or procure another person to Trade in ANZ Securities, or communicate Inside Information to others who may deal in ANZ Securities.",,3.1,"Pre-trade Approval, Blackout Periods and the prohibited-activities rules in section 3.5 bind only ANZ Restricted Persons and their Associates; the general population is bound only by the insider trading prohibition, which is conditional on holding Inside Information, so a cash-settled hedge is otherwise unaddressed."
ANZ,ANZ Group Holdings Limited,112614448954,2026-08-05,general,"Employees, contingent workers and ANZ Directors",covered,physical_hedge,not_mentioned_implicitly_permitted,none,"ANZ employees, contingent workers and ANZ Directors who have Inside Information must not Trade in ANZ Securities, advise or procure another person to Trade in ANZ Securities, or communicate Inside Information to others who may deal in ANZ Securities.",,3.1,"The same absence of any clearance or hedging rule for the general population applies regardless of settlement method, so a physically settled hedge is unaddressed outside the insider trading prohibition."
ANZ,ANZ Group Holdings Limited,112614448954,2026-08-05,general,"Employees, contingent workers and ANZ Directors",covered,encumber,not_mentioned_implicitly_permitted,none,"ANZ employees, contingent workers and ANZ Directors who have Inside Information must not Trade in ANZ Securities, advise or procure another person to Trade in ANZ Securities, or communicate Inside Information to others who may deal in ANZ Securities.",,3.1,"The margin loan and secured-financing prohibition in section 3.5 binds only ANZ Restricted Persons and their Associates, so pledging vested shares is unaddressed for the wider employee population."
ANZ,ANZ Group Holdings Limited,112614448954,2026-08-05,general,"Employees, contingent workers and ANZ Directors",covered,borrow_against_stock,not_mentioned_implicitly_permitted,none,"ANZ employees, contingent workers and ANZ Directors who have Inside Information must not Trade in ANZ Securities, advise or procure another person to Trade in ANZ Securities, or communicate Inside Information to others who may deal in ANZ Securities.",,3.1,"The margin loan ban in section 3.5 is expressly confined to ANZ Restricted Persons and their Associates, leaving margin borrowing against vested shares unaddressed for the general population."
ANZ,ANZ Group Holdings Limited,112614448954,2026-08-05,general,"Employees, contingent workers and ANZ Directors",covered,borrow_against_derivative,not_mentioned_implicitly_permitted,none,"ANZ employees, contingent workers and ANZ Directors who have Inside Information must not Trade in ANZ Securities, advise or procure another person to Trade in ANZ Securities, or communicate Inside Information to others who may deal in ANZ Securities.",,3.1,"No provision addresses financing secured on a derivative rather than the shares, and in any event the general population sits outside the ANZ Restricted Person regime altogether."
ANZ,ANZ Group Holdings Limited,112614448954,2026-08-05,general,"Employees, contingent workers and ANZ Directors",covered,stock_loan,not_mentioned_implicitly_permitted,none,"ANZ employees, contingent workers and ANZ Directors who have Inside Information must not Trade in ANZ Securities, advise or procure another person to Trade in ANZ Securities, or communicate Inside Information to others who may deal in ANZ Securities.",,3.1,"Trading in ANZ Securities, defined to include any change of title, is only regulated for ANZ Restricted Persons and their Associates, so lending vested shares is unaddressed for the general population."
ANZ,ANZ Group Holdings Limited,112614448954,2026-08-05,general,"Employees, contingent workers and ANZ Directors",covered,lender_enforcement,not_mentioned_implicitly_permitted,none,"ANZ employees, contingent workers and ANZ Directors who have Inside Information must not Trade in ANZ Securities, advise or procure another person to Trade in ANZ Securities, or communicate Inside Information to others who may deal in ANZ Securities.",,3.1,"The exceptional-circumstances exception process in section 3.8 is only available to, and therefore only regulates, ANZ Restricted Persons, so a lender's enforcement sale is unaddressed for the general population."
ANZ,ANZ Group Holdings Limited,112614448954,2026-08-05,senior,"ANZ Restricted Persons (including ANZ Directors, ExCo Members and Key Management Personnel)",covered,cash_hedge,permitted_with_pre_approval,via_definition,must obtain Pre-trade Approval prior to Trading in ANZ Securities,"an option, derivative, future or warrant relating to any security or financial product referred to above and, where the context requires, includes an ANZ Right.",3.1.1,"The hedging ban in section 3.5 is confined to unvested holdings or vested holdings still subject to a holding lock or clawback, so it does not reach a fully vested, unrestricted holding; but ANZ Security is defined to include an option, derivative, future or warrant relating to ANZ shares, so entering a cash-settled collar or put is itself Trading in an ANZ Security requiring Pre-trade Approval."
ANZ,ANZ Group Holdings Limited,112614448954,2026-08-05,senior,"ANZ Restricted Persons (including ANZ Directors, ExCo Members and Key Management Personnel)",covered,physical_hedge,permitted_with_pre_approval,via_definition,must obtain Pre-trade Approval prior to Trading in ANZ Securities,"an option, derivative, future or warrant relating to any security or financial product referred to above and, where the context requires, includes an ANZ Right.",3.1.1,"The same unvested/locked-only hedging ban leaves a fully vested holding outside section 3.5; a physically settled collar or put is both Trading in the ANZ Security that is the derivative itself and, on exercise, a disposal of ANZ shares, so Pre-trade Approval is required."
