symbol,company,market_cap,industry,lodged,tier,type,approver,form,validity_days,response_sla_days,revocable,conditions_allowed,refusal_confidential,covers_derivatives,post_trade_to,post_trade_deadline,section,evidence
CSL,CSL LIMITED,82521323101,"Pharmaceuticals, Biotechnology & Life Sciences",2023-12-15,Directors,approval,Chair (for directors including the CEO and their Related Parties); CSL Board or the Chair of the Audit and Risk Management Committee (for the Chair and the Chair's Related Parties),system,3,,yes,not_addressed,yes,implied,,,"3.1, 3.2",A request to trade is made through the online employee share registry portal or directly in writing to the relevant approver. Any request for approval to trade may be granted or refused without explanation.
CSL,CSL LIMITED,82521323101,"Pharmaceuticals, Biotechnology & Life Sciences",2023-12-15,Restricted Persons,approval,Company Secretary or their delegate (CEO and Chair for the Company Secretary and their Related Parties),system,3,,yes,not_addressed,yes,implied,,,"2.2, 3.1, 3.2","If approval to deal in CSL Securities is granted, the dealing must be conducted within three ASX trading days of the approval. If the Personnel does not deal in CSL Securities within this time period, the approval is no longer effective and approval must be sought again."
CSL,CSL LIMITED,82521323101,"Pharmaceuticals, Biotechnology & Life Sciences",2023-12-15,Personnel,none,"Company Secretary or their delegate (only for Exceptional Circumstances dealings, hedge exercises caught by a declared Closed Period, and dealings in Other Securities)",system,3,,yes,not_addressed,yes,implied,,,"2.5, 2.7, 3.1, 3.3","Prior approval to deal in CSL Securities either: (a) during an Open Period (for Restricted Persons and their Related Parties); (b) on a short-term basis in exceptional circumstances; or (c) during a Closed Period in exceptional circumstances, must be sought"
RIO,RIO TINTO LIMITED,66001984052,Materials,2020-12-23,PDMRs,approval,Chairman: Senior Independent Director or Chief Executive; non-executive directors and Group Company Secretary: Chairman or Chief Executive; Chief Executive: Chairman; other PDMRs including the CFO: Chief Executive,system,2,,yes,yes,yes,implied,"Group Company Secretary (transaction details, for onward notification to ASX and the UK FCA) and Post Trade Notification via the Dealing Rules portal","immediately after Dealing (12.2); Post Trade Notification within two business days (14.7), or promptly if the person decides not to deal","12.1, 12.2, 14.2 to 14.7","Permanent Restricted Persons and Project Restricted Persons must Deal in Rio Tinto Securities within the period specified in the written clearance to Deal, or in the absence of a period being specified, within two Business Days of the receipt of the clearance to Deal."
RIO,RIO TINTO LIMITED,66001984052,Materials,2020-12-23,Permanent Restricted Persons,approval,Group Company Secretary or a delegate of the Group Company Secretary,system,2,,yes,yes,yes,implied,Post Trade Notification via the Rio Tinto Dealing Rules portal,"within two business days of Dealing, or promptly if the person decides not to deal","9.1, 14.1 to 14.7",The requests for clearance to Deal must be in writing and submitted via the Rio Tinto Dealing Rules portal on the Company intranet.
RIO,RIO TINTO LIMITED,66001984052,Materials,2020-12-23,Project Restricted Persons,approval,Group Company Secretary or a delegate of the Group Company Secretary,system,2,,yes,yes,yes,implied,Post Trade Notification via the Rio Tinto Dealing Rules portal,within two business days of Dealing,"8.1, 14.1 to 14.7","Permanent Restricted Persons and Project Restricted Persons are required to seek clearance prior to any proposed Dealing in Rio Tinto Securities, other than a Dealing excluded by section 10."
RIO,RIO TINTO LIMITED,66001984052,Materials,2020-12-23,Results Restricted Persons,none,Group Company Secretary or delegate (only for exceptional circumstances clearance under section 15),system,2,,yes,yes,yes,implied,Post Trade Notification via the Rio Tinto Dealing Rules portal,within two business days of Dealing,"7.1, 14.3(e), 14.7, 15",Results Restricted Persons are not permitted to Deal in Rio Tinto Securities: (a) during the longer of: (i) the period from the end of the relevant financial period up to the date of publication of the full year or half-year financial results; or (ii) the period of 30 calendar days before the date of such publication
RIO,RIO TINTO LIMITED,66001984052,Materials,2020-12-23,PCAs,approval,The PDMR must seek clearance under section 14 from the PDMR's own approver before any PCA Dealing,system,2,,yes,yes,yes,implied,"Group Company Secretary (transaction details, for onward notification to ASX and the UK FCA)",immediately after Dealing,"13.1, 13.2","seek clearance in accordance with section 14 prior to any proposed Dealing in Rio Tinto Securities by a PCA, other than a Dealing excluded by section 10."
WDS,WOODSIDE ENERGY GROUP LTD,62165974676,Energy,2024-12-11,directors,approval,"Chair of the Board (CEO in the case of the Chair) and the Chair of the Audit & Risk Committee, sought by the Group Company Secretary after consulting the Disclosure Committee or its Chair; approvers who are themselves dealing must delegate",written,7,1,yes,yes,yes,express,Group Company Secretary (sufficient details for ASX notice within 5 business days),"immediately, ideally by close of business on the day the trade is entered into","6.2, 6.4","Any such approval will be valid for 7 days from the date it is given, meaning the relevant dealing can only occur during that period (subject to the other requirements of this Policy) ... A response would normally be expected within 24 hours"
WDS,WOODSIDE ENERGY GROUP LTD,62165974676,Energy,2024-12-11,restricted employees,approval,"Direct manager, then the Group General Counsel for acknowledgement of the Compliance Certificate (acknowledgement may be refused, conditioned or revoked)",written,7,,yes,yes,yes,express,Group General Counsel (confirmation of any dealing),ideally by close of business on the day the trade is entered into,"6.2, 6.4",the relevant dealing can only occur within the 7 days from the date of acknowledgement of the Compliance Certificate by the Group General Counsel
WDS,WOODSIDE ENERGY GROUP LTD,62165974676,Energy,2024-12-11,employees,none,,unspecified,,,not_addressed,not_addressed,not_addressed,not_addressed,,,6.1,you are not required to notify Woodside if you intend to deal in Woodside securities or after you have dealt in such securities.
WDS,WOODSIDE ENERGY GROUP LTD,62165974676,Energy,2024-12-11,family members and controlled entities,approval,"Same process as the relevant director or restricted employee under 6.2, who must take reasonable steps to prevent the trade until acknowledged or approved",written,7,,yes,yes,yes,express,Group Company Secretary (directors) or Group General Counsel (restricted employees),ideally by close of business on the day the trade is entered into,6.3,"Directors and restricted employees should follow the requirements outlined in Section 6.2 if they are aware that their spouse, partner, child or other immediate family member, or trust or other entity controlled by the director or restricted employee ... intends to deal in Woodside securities."
GMG,GOODMAN GROUP,56444108368,Equity Real Estate Investment Trusts (REITs),2021-06-15,team members,approval,Group CEO or Company Secretary,unspecified,10,,yes,not_addressed,yes,express,,,3,"At all times, before trading any Securities you must inform the Group CEO or Company Secretary of your intention to trade and seek their consent. ... Consent lasts 10 business days after which time you must again seek consent to trade."
GMG,GOODMAN GROUP,56444108368,Equity Real Estate Investment Trusts (REITs),2021-06-15,Directors,approval,Chairman (Audit Committee Chair for the Chairman),unspecified,10,,yes,not_addressed,yes,express,,,3,Directors must seek the consent of the Chairman and the Chairman must seek the consent of the Audit Committee Chair.
GMG,GOODMAN GROUP,56444108368,Equity Real Estate Investment Trusts (REITs),2021-06-15,Executives (Group CEO-1),approval,"Group CEO or Company Secretary for ordinary consent; a Committee of the Chairman, Group CEO and Company Secretary for blackout-period exceptional circumstances consent",unspecified,10,,yes,not_addressed,yes,express,,,3; Blackout periods and exceptional circumstances,"Executives (Group CEO-1) must seek the consent of a Committee comprised of the Chairman, Group CEO and Company Secretary."
FMG,FORTESCUE LTD,53604779222,Materials,2015-08-20,Chairman,notification,"Chair of the Audit Committee and the Company Secretary (Notification only, no approval); prior written consent of the Chair of the Audit Committee for a Prohibited Period disposal",written,7,,not_addressed,not_addressed,not_addressed,implied,Company Secretary,unspecified ('subsequently notify'),"11, 24, 25",The Chairman must not deal in Company Securities without first submitting a Notification to the Chair of the Audit Committee and the Company Secretary before commencing the transaction and must trade within seven days of submitting the Notification. The Chairman must subsequently notify the Company Secretary in writing of any trade that has occurred.
FMG,FORTESCUE LTD,53604779222,Materials,2015-08-20,Directors,notification,"Chairman and the Company Secretary (Notification only, no approval); prior written consent of the Chairman for a Prohibited Period disposal",written,7,,not_addressed,not_addressed,not_addressed,implied,Company Secretary,unspecified ('subsequently notify'); Listing Rule 3.19A notice as soon as possible and in time for lodgement within 5 business days,"11, 24, 25, 31, 32",Directors (other than the Chairman) must not deal in Company Securities without first submitting a Notification to the Chairman and the Company Secretary before commencing the transaction and must trade within seven days of submitting the Notification. The director must subsequently notify the Company Secretary in writing of any trade that has occurred.
FMG,FORTESCUE LTD,53604779222,Materials,2015-08-20,Other Designated Persons,notification,"Company Secretary (Notification only, no approval); prior written consent of the Chairman for a Prohibited Period disposal",written,7,,not_addressed,not_addressed,not_addressed,implied,,,"11, 24, 25",Designated Persons other than the Chairman and directors must not deal in Company Securities without first submitting a Notification to the Company Secretary before commencing the transaction and must trade within seven days of the Notification.
FMG,FORTESCUE LTD,53604779222,Materials,2015-08-20,Persons,none,,unspecified,,,not_addressed,not_addressed,not_addressed,not_addressed,,,23,"Persons who possess ""inside information"" must not deal or procure dealing in Company Securities"
TLS,TELSTRA GROUP LIMITED,51574200824,Telecommunication Services,2025-09-24,Telstra Directors,approval,Telstra Chair in consultation with the Telstra CEO,written,2,,yes,yes,yes,implied,,,"13, 14, 28, 29, 31","If a Window Dealing Approval Request is approved, you'll be notified by email. You must undertake your proposed dealing within 2 business days of the date of the approval."
TLS,TELSTRA GROUP LIMITED,51574200824,Telecommunication Services,2025-09-24,Telstra Chair,approval,Chair of the Telstra People & Remuneration Committee in consultation with the Telstra CEO,written,2,,yes,yes,yes,implied,,,"13, 14, 28, 29",you may only deal in Telstra securities during a window period if you've submitted a Window Dealing Approval Request form and it's been approved by the person indicated below
TLS,TELSTRA GROUP LIMITED,51574200824,Telecommunication Services,2025-09-24,Telstra CEO,approval,"Telstra Chair and one of the Chair of the People & Remuneration Committee or the Chair of the Risk & Sustainability Committee, in consultation with the Telstra CFO",written,2,,yes,yes,yes,implied,,,"13, 14, 28, 29",Telstra Chair and one of the Chair of the People & Remuneration Committee or the Chair of the Risk & Sustainability Committee in consultation with the Telstra CFO
TLS,TELSTRA GROUP LIMITED,51574200824,Telecommunication Services,2025-09-24,Band A executives and other direct reports to the CEO,approval,Telstra CEO,written,2,,yes,yes,yes,implied,,,"13, 14, 28, 29","Band A executives (other than the CEO), other direct reports to the CEO (including the CEO's Chief of Staff and Executive Aides) and their Closely Related Parties | Telstra CEO"
TLS,TELSTRA GROUP LIMITED,51574200824,Telecommunication Services,2025-09-24,"Band B executives, direct reports to Band A executives and other specified persons",approval,Telstra Group Company Secretary,written,2,,yes,yes,yes,implied,,,"13, 14, 28, 29","Band B executives (other than those reporting directly to the CEO) ... direct reports to Band A executives ... other persons specified from time to time by the Telstra CEO, Telstra CFO or the Telstra Company Secretary | Telstra Group Company Secretary"
TLS,TELSTRA GROUP LIMITED,51574200824,Telecommunication Services,2025-09-24,Telstra Group Company Secretary,approval,Telstra Chair in consultation with the Telstra CEO,written,2,,yes,yes,yes,implied,,,"13, 14, 28, 29",Telstra Group Company Secretary and his/her Closely Related Parties | Telstra Chair in consultation with the Telstra CEO
TLS,TELSTRA GROUP LIMITED,51574200824,Telecommunication Services,2025-09-24,Other Designated Persons,notification,Telstra Company Secretary (Securities Trading Notification Form),written,,,not_addressed,not_addressed,not_addressed,implied,,,"12, 15","If you're a Designated Person other than those specified in paragraph 13, you must notify the Telstra Company Secretary by completing the Securities Trading Notification Form before you deal in Telstra securities during a window period."
TLS,TELSTRA GROUP LIMITED,51574200824,Telecommunication Services,2025-09-24,Everyone,none,,unspecified,,,not_addressed,not_addressed,not_addressed,not_addressed,,,"1, 2","If you are a Designated Person (described in paragraph 8 below), additional restrictions and obligations apply to you."
WOW,WOOLWORTHS GROUP LIMITED,48045496221,Consumer Staples Distribution & Retail,2021-08-20,Chair of the Board (Chair),approval,"Chair of Audit and Finance Committee (endorsed by CEO, CLO and Company Secretary)",written,5,,not_addressed,yes,not_addressed,express,Company Secretary (with HIN/SRN),as soon as practicable and no more than two days after Trading,"4.3, 4.5, Schedule 1","If approved, clearance to Trade will be confirmed in writing and will be valid for five business days (inclusive of the approval date) unless otherwise stated."
WOW,WOOLWORTHS GROUP LIMITED,48045496221,Consumer Staples Distribution & Retail,2021-08-20,Woolworths Group Directors,approval,"Chair (endorsed by CEO, CLO and Company Secretary)",written,5,,not_addressed,yes,not_addressed,express,Company Secretary (with HIN/SRN),as soon as practicable and no more than two days after Trading,"4.3, 4.5, Schedule 1","notify the Company Secretary as soon as practicable after any Trading in Woolworths Securities occurs and, in any case, no more than two days afterward"
WOW,WOOLWORTHS GROUP LIMITED,48045496221,Consumer Staples Distribution & Retail,2021-08-20,CEO,approval,Chair (endorsed by CLO and Company Secretary),written,5,,not_addressed,yes,not_addressed,express,Company Secretary (with HIN/SRN),as soon as practicable and no more than two days after Trading,"4.3, 4.5, Schedule 1","Any Specified Person, or any Closely Related Party to a Specified Person, who wishes to trade in Woolworths Securities at any time must seek prior approval in writing from the relevant approver in Schedule 1."
WOW,WOOLWORTHS GROUP LIMITED,48045496221,Consumer Staples Distribution & Retail,2021-08-20,Chief Legal Officer (CLO),approval,Chair (endorsed by CEO and Company Secretary),written,5,,not_addressed,yes,not_addressed,express,Company Secretary (with HIN/SRN),as soon as practicable and no more than two days after Trading,"4.3, 4.5, Schedule 1",Chief Legal Officer (CLO) | CEO + Company Secretary | Chair
WOW,WOOLWORTHS GROUP LIMITED,48045496221,Consumer Staples Distribution & Retail,2021-08-20,"Executives, Subsidiary Directors",approval,CEO (endorsed by CLO and Company Secretary),written,5,,not_addressed,yes,not_addressed,express,Company Secretary (with HIN/SRN) for Executives,as soon as practicable and no more than two days after Trading,"4.3, 4.5, Schedule 1","Executives, Subsidiary Directors | CLO + Company Secretary | CEO"
WOW,WOOLWORTHS GROUP LIMITED,48045496221,Consumer Staples Distribution & Retail,2021-08-20,All other Specified Persons,approval,Company Secretary or CLO,written,5,,not_addressed,yes,not_addressed,express,,,"4.3, Schedule 1",All other Specified Persons | N/A | Company Secretary or CLO
WOW,WOOLWORTHS GROUP LIMITED,48045496221,Consumer Staples Distribution & Retail,2021-08-20,Woolworths Team Members,none,,unspecified,,,not_addressed,not_addressed,not_addressed,not_addressed,,,"2.1, 3",Certain aspects of this Policy (outlined in section 4) only apply to Specified Persons and their Closely Related Parties.
RMD,RESMED INC,47875131567,Health Care Equipment & Services,2010-12-23,Specified Persons,approval,Global General Counsel (or Chief Financial Officer in his absence); disagreements referred to the Audit Committee of the Board for final resolution,unspecified,,,not_addressed,yes,not_addressed,express,,,6.1,"A request for pre-approval should be submitted to the Global General Counsel (or CFO in his absence) at least two (2) business days in advance of the proposed transaction. ... Clearance, when given, will be only for the precise period specified."
RMD,RESMED INC,47875131567,Health Care Equipment & Services,2010-12-23,Section 16 Persons,approval,"Global General Counsel (or Chief Financial Officer in his absence), applying additional Section 16(b), Form 4 notice and Rule 144 considerations",unspecified,,,not_addressed,yes,not_addressed,express,Global General Counsel (broker reports quantity and price); SEC Form 4 prepared by the office of the Global General Counsel,broker report promptly on the day of execution; Form 4 filed no later than the second business day after the transaction date; year-end written representation that all transactions were pre-cleared,"6.1, Exhibit B 10.1, 10.3, 10.5",Section 16 Persons are required to instruct their broker who handles trades in ResMed stock to: verify with our Global General Counsel that the proposed trade was pre-cleared by ResMed in advance of entering any trading order for ResMed stock; ... report to our Global General Counsel the quantity and price of any trade promptly on the day of execution of the trade.
RMD,RESMED INC,47875131567,Health Care Equipment & Services,2010-12-23,Employees,none,"Global General Counsel pre-approval required only to implement, amend or terminate a qualified Rule 10b5-1 plan",unspecified,,,not_addressed,not_addressed,not_addressed,not_addressed,,,"5.2, 6.1","Any person who wishes to implement, amend or terminate a qualified Rule 10b5-1 plan must first have the plan (or any amendment or proposal to terminate) pre-approved by the Global General Counsel."
TCL,TRANSURBAN GROUP,43557765415,Transportation,2021-06-29,Directors (including the CEO) and their Related Parties,approval,Chairman,written,5,2,yes,not_addressed,yes,express,"Company Secretary (nature of transaction, name, date, number of Securities and consideration); Transurban notifies ASX within five business days","within two ASX trading days of completion; if no dealing, notify within seven ASX trading days of approval","6.1, 6.2, 6.3, 8","If approval to deal in Transurban Securities is granted, the dealing must be conducted within five ASX trading days of the approval. If the Employee does not deal in Transurban Securities within this time period, the approval will lapse."
TCL,TRANSURBAN GROUP,43557765415,Transportation,2021-06-29,Chairman and their Related Parties,approval,Transurban Board or the Chair of the Audit and Risk Committee,written,5,2,yes,not_addressed,yes,express,"Company Secretary (nature of transaction, name, date, number of Securities and consideration); Transurban notifies ASX within five business days","within two ASX trading days of completion; if no dealing, notify within seven ASX trading days of approval","6.1, 6.2, 6.3, 8",Chairman and their Related Parties | Transurban Board or the Chair of the Audit and Risk Committee
TCL,TRANSURBAN GROUP,43557765415,Transportation,2021-06-29,Company Secretary and their Related Parties,approval,CEO,written,5,2,yes,not_addressed,yes,express,"Company Secretary (nature of transaction, name, date, number of Securities and consideration for executives)","within two ASX trading days of completion; if no dealing, notify within seven ASX trading days of approval","6.1, 6.2, 6.3",Company Secretary and their Related Parties | CEO
