symbol,company,market_cap,industry,lodged,tier,tier_kind,collar,funded_collar,blockers
ANZ,ANZ GROUP HOLDINGS LIMITED,112614448954,Banks,2026-08-05,ExCo Members and Key Management Personnel,kmp,clearance_required,blocked_loan,
ANZ,ANZ GROUP HOLDINGS LIMITED,112614448954,Banks,2026-08-05,ANZ Directors and Chief Executive Officer,director,clearance_required,blocked_loan,
ANZ,ANZ GROUP HOLDINGS LIMITED,112614448954,Banks,2026-08-05,Associates,associate,clearance_required,blocked_loan,
MQG,MACQUARIE GROUP LIMITED,94975532859,Financial Services,2024-01-02,Macquarie Staff,all_staff,clearance_required,blocked_hedge,
MQG,MACQUARIE GROUP LIMITED,94975532859,Financial Services,2024-01-02,Key Management Personnel,kmp,blocked_below_floor,blocked_hedge,minimum personal shareholding requirement
MQG,MACQUARIE GROUP LIMITED,94975532859,Financial Services,2024-01-02,Executive Directors,other,blocked_below_floor,blocked_hedge,minimum personal shareholding requirement
MQG,MACQUARIE GROUP LIMITED,94975532859,Financial Services,2024-01-02,Associates,associate,clearance_required,blocked_hedge,
WES,WESFARMERS LIMITED,87507592674,Consumer Discretionary Distribution & Retail,2021-04-07,All directors and employees,all_staff,available,workable,
WES,WESFARMERS LIMITED,87507592674,Consumer Discretionary Distribution & Retail,2021-04-07,Officers,restricted,clearance_required,workable,
WES,WESFARMERS LIMITED,87507592674,Consumer Discretionary Distribution & Retail,2021-04-07,Directors,director,clearance_required,workable,
WES,WESFARMERS LIMITED,87507592674,Consumer Discretionary Distribution & Retail,2021-04-07,Associated Parties,associate,clearance_required,workable,
CSL,CSL LIMITED,82521323101,"Pharmaceuticals, Biotechnology & Life Sciences",2023-12-15,Personnel,all_staff,available,blocked_loan,
CSL,CSL LIMITED,82521323101,"Pharmaceuticals, Biotechnology & Life Sciences",2023-12-15,Restricted Persons,restricted,clearance_required,blocked_loan,
CSL,CSL LIMITED,82521323101,"Pharmaceuticals, Biotechnology & Life Sciences",2023-12-15,Directors,director,unclear,blocked_loan,
CSL,CSL LIMITED,82521323101,"Pharmaceuticals, Biotechnology & Life Sciences",2023-12-15,Directors and members of the Global Leadership Group,kmp,blocked,blocked_loan,"hedging: Directors, members of the Global Leadership Group and their Related Parties must not enter into hedging arrangements in  | derivatives: Hedging is a form of dealing and includes entering into transactions in financial products that operate to limit the eco"
CSL,CSL LIMITED,82521323101,"Pharmaceuticals, Biotechnology & Life Sciences",2023-12-15,Related Parties,associate,unclear,blocked_loan,
RIO,RIO TINTO LIMITED,66001984052,Materials,2020-12-23,Rio Tinto Personnel,all_staff,clearance_required,blocked_loan,
RIO,RIO TINTO LIMITED,66001984052,Materials,2020-12-23,Restricted Persons,restricted,clearance_required,blocked_loan,
RIO,RIO TINTO LIMITED,66001984052,Materials,2020-12-23,Permanent Restricted Persons,restricted,clearance_required,blocked_loan,
RIO,RIO TINTO LIMITED,66001984052,Materials,2020-12-23,Results Restricted Persons,restricted,available,blocked_loan,
RIO,RIO TINTO LIMITED,66001984052,Materials,2020-12-23,Project Restricted Persons,restricted,clearance_required,blocked_loan,
RIO,RIO TINTO LIMITED,66001984052,Materials,2020-12-23,PDMRs,kmp,blocked,blocked_loan,hedging: (a) Dealing in derivative products issued over or in respect of Rio Tinto Securities | derivatives: PDMRs are prohibited from undertaking any of the following Dealings with respect to Rio Tinto Securities: (a) Dealing in
RIO,RIO TINTO LIMITED,66001984052,Materials,2020-12-23,PCAs,associate,clearance_required,blocked_loan,
WDS,WOODSIDE ENERGY GROUP LTD,62165974676,Energy,2024-12-11,employees,all_staff,available,blocked_loan,
WDS,WOODSIDE ENERGY GROUP LTD,62165974676,Energy,2024-12-11,directors,director,clearance_required,blocked_loan,
WDS,WOODSIDE ENERGY GROUP LTD,62165974676,Energy,2024-12-11,restricted employees,restricted,clearance_required,blocked_loan,
WDS,WOODSIDE ENERGY GROUP LTD,62165974676,Energy,2024-12-11,"directors, executive key management personnel and other executives participating in an equity-based executive incentive plan",kmp,blocked,blocked_loan,"hedging: Transactions involving Woodside-based derivative securities by directors, executive key management personnel and other e | derivatives: Transactions in derivative securities include, but are not limited to: trading in Woodside-based option contracts; trans"
WDS,WOODSIDE ENERGY GROUP LTD,62165974676,Energy,2024-12-11,family members and controlled entities,associate,clearance_required,blocked_loan,
GMG,GOODMAN GROUP,56444108368,Equity Real Estate Investment Trusts (REITs),2021-06-15,team members,all_staff,clearance_required,loan_margin_features_banned,
GMG,GOODMAN GROUP,56444108368,Equity Real Estate Investment Trusts (REITs),2021-06-15,Directors,director,clearance_required,loan_margin_features_banned,
GMG,GOODMAN GROUP,56444108368,Equity Real Estate Investment Trusts (REITs),2021-06-15,Executives (Group CEO-1),kmp,clearance_required,loan_margin_features_banned,
GMG,GOODMAN GROUP,56444108368,Equity Real Estate Investment Trusts (REITs),2021-06-15,Key management personnel,kmp,clearance_required,loan_margin_features_banned,
GMG,GOODMAN GROUP,56444108368,Equity Real Estate Investment Trusts (REITs),2021-06-15,associates,associate,clearance_required,loan_margin_features_banned,
FMG,FORTESCUE LTD,53604779222,Materials,2015-08-20,Persons,all_staff,available,workable,
FMG,FORTESCUE LTD,53604779222,Materials,2015-08-20,Designated Persons,kmp,notification_required,workable,
FMG,FORTESCUE LTD,53604779222,Materials,2015-08-20,Chairman,director,notification_required,workable,
FMG,FORTESCUE LTD,53604779222,Materials,2015-08-20,Directors,director,notification_required,workable,
FMG,FORTESCUE LTD,53604779222,Materials,2015-08-20,Other Designated Persons,kmp,notification_required,workable,
FMG,FORTESCUE LTD,53604779222,Materials,2015-08-20,Related Parties,associate,notification_required,workable,
TLS,TELSTRA GROUP LIMITED,51574200824,Telecommunication Services,2025-09-24,Everyone,all_staff,available,blocked_loan,
TLS,TELSTRA GROUP LIMITED,51574200824,Telecommunication Services,2025-09-24,Designated Persons,kmp,blocked,blocked_loan,"hedging: Subject to paragraph 21, if you're a Designated Person, you are prohibited from entering into any hedging arrangement th | derivatives: It also extends to financial products relating to securities issued by Telstra (for example, warrants and other derivati"
TLS,TELSTRA GROUP LIMITED,51574200824,Telecommunication Services,2025-09-24,Telstra Directors,director,clearance_required,blocked_loan,
TLS,TELSTRA GROUP LIMITED,51574200824,Telecommunication Services,2025-09-24,Telstra Chair,director,clearance_required,blocked_loan,
TLS,TELSTRA GROUP LIMITED,51574200824,Telecommunication Services,2025-09-24,Telstra CEO,kmp,clearance_required,blocked_loan,
TLS,TELSTRA GROUP LIMITED,51574200824,Telecommunication Services,2025-09-24,Band A executives and other direct reports to the CEO,kmp,clearance_required,blocked_loan,
TLS,TELSTRA GROUP LIMITED,51574200824,Telecommunication Services,2025-09-24,"Band B executives, direct reports to Band A executives and other specified persons",restricted,clearance_required,blocked_loan,
TLS,TELSTRA GROUP LIMITED,51574200824,Telecommunication Services,2025-09-24,Telstra Group Company Secretary,kmp,clearance_required,blocked_loan,
TLS,TELSTRA GROUP LIMITED,51574200824,Telecommunication Services,2025-09-24,Other Designated Persons,restricted,notification_required,blocked_loan,
TLS,TELSTRA GROUP LIMITED,51574200824,Telecommunication Services,2025-09-24,Equity Plan Participants,plan_participant,clearance_required,blocked_loan,
TLS,TELSTRA GROUP LIMITED,51574200824,Telecommunication Services,2025-09-24,Closely Related Parties,associate,clearance_required,blocked_loan,
WOW,WOOLWORTHS GROUP LIMITED,48045496221,Consumer Staples Distribution & Retail,2021-08-20,Woolworths Team Members,all_staff,available,blocked_loan,
WOW,WOOLWORTHS GROUP LIMITED,48045496221,Consumer Staples Distribution & Retail,2021-08-20,Specified Persons,restricted,clearance_required,blocked_loan,
WOW,WOOLWORTHS GROUP LIMITED,48045496221,Consumer Staples Distribution & Retail,2021-08-20,Chair of the Board (Chair),director,clearance_required,blocked_loan,
WOW,WOOLWORTHS GROUP LIMITED,48045496221,Consumer Staples Distribution & Retail,2021-08-20,Woolworths Group Directors,director,clearance_required,blocked_loan,
WOW,WOOLWORTHS GROUP LIMITED,48045496221,Consumer Staples Distribution & Retail,2021-08-20,CEO,kmp,clearance_required,blocked_loan,
WOW,WOOLWORTHS GROUP LIMITED,48045496221,Consumer Staples Distribution & Retail,2021-08-20,Chief Legal Officer (CLO),kmp,clearance_required,blocked_loan,
WOW,WOOLWORTHS GROUP LIMITED,48045496221,Consumer Staples Distribution & Retail,2021-08-20,"Executives, Subsidiary Directors",kmp,clearance_required,blocked_loan,
WOW,WOOLWORTHS GROUP LIMITED,48045496221,Consumer Staples Distribution & Retail,2021-08-20,All other Specified Persons,restricted,clearance_required,blocked_loan,
WOW,WOOLWORTHS GROUP LIMITED,48045496221,Consumer Staples Distribution & Retail,2021-08-20,Closely Related Parties,associate,clearance_required,blocked_loan,
RMD,RESMED INC,47875131567,Health Care Equipment & Services,2010-12-23,Employees,all_staff,available,workable,
RMD,RESMED INC,47875131567,Health Care Equipment & Services,2010-12-23,Insiders,restricted,blocked,workable,"hedging: Buying or selling puts or calls on ResMed Securities | derivatives: You are prohibited from engaging in any speculative transactions involving ResMed Securities, including: Buying or selli"
RMD,RESMED INC,47875131567,Health Care Equipment & Services,2010-12-23,Specified Persons,kmp,clearance_required,workable,
RMD,RESMED INC,47875131567,Health Care Equipment & Services,2010-12-23,Section 16 Persons,director,clearance_required,workable,
TCL,TRANSURBAN GROUP,43557765415,Transportation,2021-06-29,Employees,all_staff,clearance_required,workable,
TCL,TRANSURBAN GROUP,43557765415,Transportation,2021-06-29,Restricted Persons,restricted,clearance_required,workable,
TCL,TRANSURBAN GROUP,43557765415,Transportation,2021-06-29,"Directors, members of the Executive Committee and their Related Parties",kmp,blocked,workable,"hedging: Directors, members of the Executive Committee and their Related Parties must not enter into hedging arrangements in rela | derivatives: Directors, members of the Executive Committee and their Related Parties must not enter into hedging arrangements in rela"
TCL,TRANSURBAN GROUP,43557765415,Transportation,2021-06-29,Directors (including the CEO) and their Related Parties,director,clearance_required,workable,
TCL,TRANSURBAN GROUP,43557765415,Transportation,2021-06-29,Chairman and their Related Parties,director,clearance_required,workable,
TCL,TRANSURBAN GROUP,43557765415,Transportation,2021-06-29,Company Secretary and their Related Parties,kmp,clearance_required,workable,
TCL,TRANSURBAN GROUP,43557765415,Transportation,2021-06-29,All other Employees,all_staff,clearance_required,workable,
TCL,TRANSURBAN GROUP,43557765415,Transportation,2021-06-29,Employees who have entitlements to Transurban Securities under a Transurban Equity Plan,plan_participant,clearance_required,workable,
TCL,TRANSURBAN GROUP,43557765415,Transportation,2021-06-29,Related Party,associate,clearance_required,workable,
ALL,ARISTOCRAT LEISURE LIMITED,36126622825,Consumer Services,2023-07-31,Employees,all_staff,available,loan_margin_features_banned,
ALL,ARISTOCRAT LEISURE LIMITED,36126622825,Consumer Services,2023-07-31,Designated Persons,restricted,clearance_required,loan_margin_features_banned,
ALL,ARISTOCRAT LEISURE LIMITED,36126622825,Consumer Services,2023-07-31,Non-executive Directors,director,unclear,loan_margin_features_banned,
ALL,ARISTOCRAT LEISURE LIMITED,36126622825,Consumer Services,2023-07-31,Senior Executives,kmp,unclear,loan_margin_features_banned,
ALL,ARISTOCRAT LEISURE LIMITED,36126622825,Consumer Services,2023-07-31,Nominated Employees,other,unclear,loan_margin_features_banned,
ALL,ARISTOCRAT LEISURE LIMITED,36126622825,Consumer Services,2023-07-31,Connected Persons,associate,unclear,loan_margin_features_banned,
NST,NORTHERN STAR RESOURCES LTD,33753631919,Materials,2017-11-01,Restricted Persons,restricted,clearance_required,workable,
NST,NORTHERN STAR RESOURCES LTD,33753631919,Materials,2017-11-01,Key Management Personnel,kmp,clearance_required,workable,
NST,NORTHERN STAR RESOURCES LTD,33753631919,Materials,2017-11-01,Senior Employees,other,clearance_required,workable,
NST,NORTHERN STAR RESOURCES LTD,33753631919,Materials,2017-11-01,Key Consultants or Key Contractors,other,clearance_required,workable,
NST,NORTHERN STAR RESOURCES LTD,33753631919,Materials,2017-11-01,Connected Persons,associate,clearance_required,workable,
QBE,QBE INSURANCE GROUP LIMITED,33585670041,Insurance,2026-08-17,Relevant Persons,all_staff,blocked,workable,"hedging: Hedging of QBE securities by a Relevant Person and their Closely Related Parties is prohibited at all times. | derivatives: derivative has the meaning given to that term in the Corporations Act and includes options, forward contracts, swaps, fu"
QBE,QBE INSURANCE GROUP LIMITED,33585670041,Insurance,2026-08-17,Certain Relevant Persons (paragraph 6),restricted,clearance_required,workable,
QBE,QBE INSURANCE GROUP LIMITED,33585670041,Insurance,2026-08-17,Directors of QBE,director,clearance_required,workable,
QBE,QBE INSURANCE GROUP LIMITED,33585670041,Insurance,2026-08-17,Members of the QBE Group Executive Committee,kmp,clearance_required,workable,
QBE,QBE INSURANCE GROUP LIMITED,33585670041,Insurance,2026-08-17,Direct reports of members of the QBE Group Executive Committee,restricted,clearance_required,workable,
QBE,QBE INSURANCE GROUP LIMITED,33585670041,Insurance,2026-08-17,Directors of the divisional statutory Boards,other,clearance_required,workable,
QBE,QBE INSURANCE GROUP LIMITED,33585670041,Insurance,2026-08-17,Members of QBE Executive Management Board,other,clearance_required,workable,
QBE,QBE INSURANCE GROUP LIMITED,33585670041,Insurance,2026-08-17,Any other Relevant Person,all_staff,available,workable,
QBE,QBE INSURANCE GROUP LIMITED,33585670041,Insurance,2026-08-17,Closely Related Parties,associate,clearance_required,workable,
COL,COLES GROUP LIMITED.,31805637156,Consumer Staples Distribution & Retail,2023-06-19,directors and team members,all_staff,available,blocked_loan,
COL,COLES GROUP LIMITED.,31805637156,Consumer Staples Distribution & Retail,2023-06-19,Restricted Persons,restricted,clearance_required,blocked_loan,
COL,COLES GROUP LIMITED.,31805637156,Consumer Staples Distribution & Retail,2023-06-19,directors,director,blocked,blocked_loan,"hedging: All directors, members of the Executive Leadership Team and their Connected Persons are prohibited from hedging their ex"
COL,COLES GROUP LIMITED.,31805637156,Consumer Staples Distribution & Retail,2023-06-19,Executive Leadership Team,kmp,blocked,blocked_loan,"hedging: All directors, members of the Executive Leadership Team and their Connected Persons are prohibited from hedging their ex"
COL,COLES GROUP LIMITED.,31805637156,Consumer Staples Distribution & Retail,2023-06-19,Permitted Restricted Persons,other,clearance_required,blocked_loan,
COL,COLES GROUP LIMITED.,31805637156,Consumer Staples Distribution & Retail,2023-06-19,Connected Persons,associate,clearance_required,blocked_loan,
SIG,SIGMA HEALTHCARE LIMITED,31283434686,Health Care Equipment & Services,2020-12-10,Team Members,all_staff,available,enforcement_restricted,
SIG,SIGMA HEALTHCARE LIMITED,31283434686,Health Care Equipment & Services,2020-12-10,Specified Persons,restricted,clearance_required,enforcement_restricted,
SIG,SIGMA HEALTHCARE LIMITED,31283434686,Health Care Equipment & Services,2020-12-10,Directors,director,clearance_required,enforcement_restricted,
SIG,SIGMA HEALTHCARE LIMITED,31283434686,Health Care Equipment & Services,2020-12-10,Executive Leadership Team Members,kmp,clearance_required,enforcement_restricted,
SIG,SIGMA HEALTHCARE LIMITED,31283434686,Health Care Equipment & Services,2020-12-10,Associates,associate,clearance_required,enforcement_restricted,
EVN,EVOLUTION MINING LIMITED,30502549053,Materials,2015-04-07,personnel,all_staff,available,blocked_loan,
EVN,EVOLUTION MINING LIMITED,30502549053,Materials,2015-04-07,Directors and Senior Executives,director,clearance_required,blocked_loan,
EVN,EVOLUTION MINING LIMITED,30502549053,Materials,2015-04-07,designated employees,restricted,clearance_required,blocked_loan,
EVN,EVOLUTION MINING LIMITED,30502549053,Materials,2015-04-07,employee insiders,restricted,clearance_required,blocked_loan,
AMC,AMCOR PLC,29923013057,Materials,2015-04-28,co-workers,all_staff,available,workable,
AMC,AMCOR PLC,29923013057,Materials,2015-04-28,Executive Team Members,kmp,blocked_below_floor,workable,Amcor's Minimum Shareholding Policy
AMC,AMCOR PLC,29923013057,Materials,2015-04-28,Directors,director,clearance_required,workable,
AMC,AMCOR PLC,29923013057,Materials,2015-04-28,Associates of Executive Team Members,associate,clearance_required,workable,
AMC,AMCOR PLC,29923013057,Materials,2015-04-28,Associates of Directors,associate,clearance_required,workable,
STO,SANTOS LIMITED,26891560117,Energy,2020-08-03,"Directors, executives and employees",all_staff,available,blocked_loan,
STO,SANTOS LIMITED,26891560117,Energy,2020-08-03,Designated Persons,restricted,clearance_required,blocked_loan,
STO,SANTOS LIMITED,26891560117,Energy,2020-08-03,Directors,director,clearance_required,blocked_loan,
STO,SANTOS LIMITED,26891560117,Energy,2020-08-03,Connected Persons,associate,clearance_required,blocked_loan,
NWS,NEWS CORPORATION..,25941422787,Media & Entertainment,2026-08-09,Covered Persons,all_staff,blocked,workable,"hedging: No Hedging or Pledging. Covered Persons are prohibited from hedging or pledging any equity compensation or Company secur | hedging: No Hedging. Covered Persons may not have entered into or altered a corresponding or hedging transaction or position with | derivatives: No Covered Person shall invest in Company-based derivative securities. “Derivative Securities” are options, warrants, st"
NWS,NEWS CORPORATION..,25941422787,Media & Entertainment,2026-08-09,Section 16 Reporting Persons,kmp,clearance_required,workable,
NWS,NEWS CORPORATION..,25941422787,Media & Entertainment,2026-08-09,Designated Individuals,restricted,clearance_required,workable,
NWS,NEWS CORPORATION..,25941422787,Media & Entertainment,2026-08-09,Restricted Persons,restricted,blocked,workable,"derivatives: the following policies apply to all transactions (including gifts), direct or indirect, in all of the Company’s securiti"
NWS,NEWS CORPORATION..,25941422787,Media & Entertainment,2026-08-09,family members and controlled entities,associate,blocked,workable,hedging: This Policy applies to ... (i) such persons’ “family members” and (ii) entities (such as trusts and corporations) which 
NWSLV,NEWS CORPORATION..,25941422787,Media & Entertainment,2026-08-09,Covered Persons,all_staff,blocked,workable,"hedging: No Hedging or Pledging. Covered Persons are prohibited from hedging or pledging any equity compensation or Company secur | hedging: No Hedging. Covered Persons may not have entered into or altered a corresponding or hedging transaction or position with | derivatives: No Covered Person shall invest in Company-based derivative securities. “Derivative Securities” are options, warrants, st"
NWSLV,NEWS CORPORATION..,25941422787,Media & Entertainment,2026-08-09,Section 16 Reporting Persons,kmp,clearance_required,workable,
NWSLV,NEWS CORPORATION..,25941422787,Media & Entertainment,2026-08-09,Designated Individuals,restricted,clearance_required,workable,
NWSLV,NEWS CORPORATION..,25941422787,Media & Entertainment,2026-08-09,Restricted Persons,restricted,blocked,workable,"derivatives: the following policies apply to all transactions (including gifts), direct or indirect, in all of the Company’s securiti"
NWSLV,NEWS CORPORATION..,25941422787,Media & Entertainment,2026-08-09,family members and controlled entities,associate,blocked,workable,hedging: This Policy applies to ... (i) such persons’ “family members” and (ii) entities (such as trusts and corporations) which 
BXB,BRAMBLES LIMITED,25914862138,Commercial & Professional Services,2017-07-03,Designated Persons,restricted,blocked,blocked_hedge,"hedging: Derivatives means financial products which provide a financial return based on price movements of Securities, including  | derivatives: Designated Persons must not trade in Brambles Derivatives."
BXB,BRAMBLES LIMITED,25914862138,Commercial & Professional Services,2017-07-03,Directors,director,blocked,blocked_hedge,"hedging: Derivatives means financial products which provide a financial return based on price movements of Securities, including  | derivatives: Designated Persons must not trade in Brambles Derivatives."
BXB,BRAMBLES LIMITED,25914862138,Commercial & Professional Services,2017-07-03,Chairman,director,blocked,blocked_hedge,"hedging: Derivatives means financial products which provide a financial return based on price movements of Securities, including  | derivatives: Designated Persons must not trade in Brambles Derivatives."
BXB,BRAMBLES LIMITED,25914862138,Commercial & Professional Services,2017-07-03,Other employees,restricted,blocked,blocked_hedge,"hedging: Derivatives means financial products which provide a financial return based on price movements of Securities, including  | derivatives: Designated Persons must not trade in Brambles Derivatives."
BXB,BRAMBLES LIMITED,25914862138,Commercial & Professional Services,2017-07-03,Connected persons,associate,blocked,blocked_hedge,"hedging: Derivatives means financial products which provide a financial return based on price movements of Securities, including  | derivatives: Designated Persons must not trade in Brambles Derivatives."
JHX,JAMES HARDIE INDUSTRIES PLC,24065489830,Materials,2011-05-16,Insiders,all_staff,notification_required,workable,
JHX,JAMES HARDIE INDUSTRIES PLC,24065489830,Materials,2011-05-16,Designated Persons,restricted,blocked,workable,hedging: A Designated Person or one of his or her Associates must not engage in Dealings undertaken for Short Swing Profit or Hed | derivatives: A Designated Person or one of his or her Associates must not engage in Dealings undertaken for Short Swing Profit or Hed
JHX,JAMES HARDIE INDUSTRIES PLC,24065489830,Materials,2011-05-16,Directors,director,clearance_required,workable,
JHX,JAMES HARDIE INDUSTRIES PLC,24065489830,Materials,2011-05-16,Associates,associate,clearance_required,workable,
S32,SOUTH32 LIMITED,23509185267,Materials,2022-12-05,Employees,all_staff,available,blocked_loan,
S32,SOUTH32 LIMITED,23509185267,Materials,2022-12-05,Restricted Employees,restricted,clearance_required,blocked_loan,
S32,SOUTH32 LIMITED,23509185267,Materials,2022-12-05,KMP,kmp,blocked,blocked_loan,hedging: (e) enter into any hedging arrangements that limit his or her exposure to the Company's securities. | derivatives: KMP and South32 Lead Team members must not undertake any of the following dealings with respect to the Company's securit
S32,SOUTH32 LIMITED,23509185267,Materials,2022-12-05,South32 Lead Team members,kmp,blocked,blocked_loan,hedging: (e) enter into any hedging arrangements that limit his or her exposure to the Company's securities. | derivatives: KMP and South32 Lead Team members must not undertake any of the following dealings with respect to the Company's securit
S32,SOUTH32 LIMITED,23509185267,Materials,2022-12-05,PCAs,associate,blocked,blocked_loan,hedging: Restrictions on dealings which are included or excluded under this Policy also apply to the PCAs. | derivatives: Restrictions on dealings which are included or excluded under this Policy also apply to the PCAs.
CPU,COMPUTERSHARE LIMITED.,22973534420,Commercial & Professional Services,2015-06-16,Computershare Person,all_staff,available,workable,
CPU,COMPUTERSHARE LIMITED.,22973534420,Commercial & Professional Services,2015-06-16,Designated Person,restricted,clearance_required,workable,
CPU,COMPUTERSHARE LIMITED.,22973534420,Commercial & Professional Services,2015-06-16,Director,director,notification_required,workable,
CPU,COMPUTERSHARE LIMITED.,22973534420,Commercial & Professional Services,2015-06-16,Connected Person,associate,clearance_required,workable,
REA,REA GROUP LTD,22217378881,Media & Entertainment,2026-05-08,"directors, employees and contractors",all_staff,available,blocked_loan,
REA,REA GROUP LTD,22217378881,Media & Entertainment,2026-05-08,Restricted Persons,restricted,clearance_required,blocked_loan,
REA,REA GROUP LTD,22217378881,Media & Entertainment,2026-05-08,Directors,director,blocked,blocked_loan,"hedging: Directors, members of the Executive Leadership Team and their Connected Parties must not hedge their exposure to REA Sec | derivatives: Hedges and derivatives are used to limit the economic risk associated with securities and include OTC products, contract"
REA,REA GROUP LTD,22217378881,Media & Entertainment,2026-05-08,Members of the Executive Leadership Team,kmp,blocked,blocked_loan,"hedging: Directors, members of the Executive Leadership Team and their Connected Parties must not hedge their exposure to REA Sec | derivatives: Hedges and derivatives are used to limit the economic risk associated with securities and include OTC products, contract"
REA,REA GROUP LTD,22217378881,Media & Entertainment,2026-05-08,Connected Parties,associate,blocked,blocked_loan,"hedging: Directors, members of the Executive Leadership Team and their Connected Parties must not hedge their exposure to REA Sec"
FPH,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,21470861835,Health Care Equipment & Services,2013-08-29,"Directors, officers and employees",all_staff,available,workable,
FPH,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,21470861835,Health Care Equipment & Services,2013-08-29,Restricted Persons,restricted,clearance_required,workable,
ORG,ORIGIN ENERGY LIMITED,20156147751,Utilities,2025-03-11,Origin Personnel,all_staff,clearance_required,blocked_loan,
ORG,ORIGIN ENERGY LIMITED,20156147751,Utilities,2025-03-11,Directors,director,clearance_required,blocked_loan,
ORG,ORIGIN ENERGY LIMITED,20156147751,Utilities,2025-03-11,ELT & ELT Direct Reports,kmp,clearance_required,blocked_loan,
ORG,ORIGIN ENERGY LIMITED,20156147751,Utilities,2025-03-11,All other employees,all_staff,clearance_required,blocked_loan,
ORG,ORIGIN ENERGY LIMITED,20156147751,Utilities,2025-03-11,Associates,associate,clearance_required,blocked_loan,
SUN,SUNCORP GROUP LIMITED,19981969003,Insurance,2022-05-10,"Suncorp Directors, Employees and Contractors",all_staff,blocked,workable,"hedging: Directors, Employees and Contractors are prohibited from entering into a hedging transaction that is designed to limit t"
SUN,SUNCORP GROUP LIMITED,19981969003,Insurance,2022-05-10,Prescribed Persons,restricted,blocked,workable,"derivatives: derivative products (including but not limited to warrants, exchange-traded options, over-the-counter options and contra"
SUN,SUNCORP GROUP LIMITED,19981969003,Insurance,2022-05-10,Suncorp Directors,director,clearance_required,workable,
SUN,SUNCORP GROUP LIMITED,19981969003,Insurance,2022-05-10,Executive Leadership Team,kmp,clearance_required,workable,
SUN,SUNCORP GROUP LIMITED,19981969003,Insurance,2022-05-10,Connected Persons,associate,clearance_required,workable,
SCG,SCENTRE GROUP,18721337412,Equity Real Estate Investment Trusts (REITs),2024-02-23,"Scentre Group Directors, officers and employees",all_staff,available,loan_margin_features_banned,
