symbol,name,market_cap,industry,status,source,policy_date,headline,document_key,pdf,text_chars
FPH,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,21470861835,Health Care Equipment & Services,ok,asx,2013-08-29,FPH SECURITIES DEALING POLICY FURTHER AMENDMENT,2995-01439074-2A752843,/Users/gazmart/code/asx-trading-policies/data/pdf/FPH.pdf,18462
ORG,ORIGIN ENERGY LIMITED,20156147751,Utilities,ok,asx,2025-03-11,Updated Dealing in Securities Policy,2924-02923382-2A1584036,/Users/gazmart/code/asx-trading-policies/data/pdf/ORG.pdf,15390
SUN,SUNCORP GROUP LIMITED,19981969003,Insurance,ok,asx,2022-05-10,Suncorp Securities Trading Policy,2924-02520319-2A1373360,/Users/gazmart/code/asx-trading-policies/data/pdf/SUN.pdf,23317
SCG,SCENTRE GROUP,18721337412,Equity Real Estate Investment Trusts (REITs),ok,asx,2024-02-23,Revised Security Trading Policy,2924-02776516-2A1507035,/Users/gazmart/code/asx-trading-policies/data/pdf/SCG.pdf,29279
PME,PRO MEDICUS LIMITED,18430590872,Health Care Equipment & Services,ok,asx,2011-01-05,Security Trading Policy,2995-01139713-3A348501,/Users/gazmart/code/asx-trading-policies/data/pdf/PME.pdf,14298
AAI,ALCOA CORPORATION,18399766505,Materials,no_policy_found,,,,,,0
IAG,INSURANCE AUSTRALIA GROUP LIMITED,18399689299,Insurance,ok,asx,2023-11-30,Group Security Trading Policy,2924-02748651-2A1491626,/Users/gazmart/code/asx-trading-policies/data/pdf/IAG.pdf,25286
PLS,PLS GROUP LIMITED,17678188289,Materials,ok,asx,2016-10-11,Updated Securities Trading Policy,2995-01788278-6A793855,/Users/gazmart/code/asx-trading-policies/data/pdf/PLS.pdf,22124
SOL,WASHINGTON H. SOUL PATTINSON AND COMPANY LIMITED,16891229062,Financial Services,ok,asx,2025-09-15,Share Trading Policy,2924-02993628-2A1621694,/Users/gazmart/code/asx-trading-policies/data/pdf/SOL.pdf,12624
CSC,CAPSTONE COPPER CORP.,16046417299,Materials,no_policy_found,,,,,,0
SGH,SGH LIMITED,16035727780,Capital Goods,ok,asx,2021-08-24,Updated Share Trading Policy,2924-02411689-2A1318098,/Users/gazmart/code/asx-trading-policies/data/pdf/SGH.pdf,11736
LYC,LYNAS RARE EARTHS LIMITED,15590724933,Materials,ok,asx,2011-09-22,Updated Share Trading Policy,2995-01220720-2A649830,/Users/gazmart/code/asx-trading-policies/data/pdf/LYC.pdf,17825
DPM,DPM METALS INC.,14847124915,Materials,no_policy_found,,,,,,0
APA,APA GROUP,14336227803,Utilities,ok,asx,2016-07-01,Securities Trading Policy,2995-01754041-2A958835,/Users/gazmart/code/asx-trading-policies/data/pdf/APA.pdf,27154
XRO,XERO LIMITED,14211650719,Software & Services,ok,asx,2024-07-31,Updated Share Trading Policy,2924-02834380-3A647066,/Users/gazmart/code/asx-trading-policies/data/pdf/XRO.pdf,21492
QAN,QANTAS AIRWAYS LIMITED,14178677244,Transportation,ok,asx,2013-09-03,Employee Share Trading Policy,2995-01440778-2A753843,/Users/gazmart/code/asx-trading-policies/data/pdf/QAN.pdf,36374
BSL,BLUESCOPE STEEL LIMITED,13733727462,Materials,ok,asx,2016-10-25,Securities Trading Policy,2995-01793945-3A458981,/Users/gazmart/code/asx-trading-policies/data/pdf/BSL.pdf,13613
WTC,WISETECH GLOBAL LIMITED,13351230926,Software & Services,ok,asx,2021-11-02,WiseTech Global Amended Securities Trading Policy,2924-02446479-2A1335824,/Users/gazmart/code/asx-trading-policies/data/pdf/WTC.pdf,14755
MPL,MEDIBANK PRIVATE LIMITED,13246755584,Insurance,ok,asx,2024-05-16,Updated Share Trading Policy,2924-02807835-3A642628,/Users/gazmart/code/asx-trading-policies/data/pdf/MPL.pdf,23611
MIN,MINERAL RESOURCES LIMITED,12904921445,Materials,ok,asx,2025-11-19,Securities Trading Policy,2924-03025236-6A1297883,/Users/gazmart/code/asx-trading-policies/data/pdf/MIN.pdf,18961
MEZ,MERIDIAN ENERGY LIMITED,12104090118,Utilities,ok,asx,2013-10-28,Securities Trading Policy,2995-01458821-2A764025,/Users/gazmart/code/asx-trading-policies/data/pdf/MEZ.pdf,20704
RHC,RAMSAY HEALTH CARE LIMITED,12056241029,Health Care Equipment & Services,ok,asx,2025-02-27,Revised Securities Trading Policy,2924-02919346-2A1581615,/Users/gazmart/code/asx-trading-policies/data/pdf/RHC.pdf,17840
AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED,12052778813,Transportation,ok,asx,2011-01-09,Auckland Airport Insider Trading Policy,2995-01140480-3A348622,/Users/gazmart/code/asx-trading-policies/data/pdf/AIA.pdf,16914
IFT,INFRATIL LIMITED.,11804781409,Capital Goods,no_policy_found,,,,,,0
VCX,VICINITY CENTRES,11600840668,Equity Real Estate Investment Trusts (REITs),ok,asx,2025-09-03,Revised Securities Trading Policy,2924-02988903-3A675548,/Users/gazmart/code/asx-trading-policies/data/pdf/VCX.pdf,18937
ALQ,ALS LIMITED,11201464145,Commercial & Professional Services,ok,asx,2025-05-27,Revised Securities Trading Policy,2924-02950658-2A1598536,/Users/gazmart/code/asx-trading-policies/data/pdf/ALQ.pdf,28288
TLC,THE LOTTERY CORPORATION LIMITED,11084343081,Consumer Services,ok,asx,2025-06-29,Updated Securities Trading Policy,2924-02961753-3A670780,/Users/gazmart/code/asx-trading-policies/data/pdf/TLC.pdf,29186
ASX,ASX LIMITED,10866741703,Financial Services,ok,asx,2026-03-25,Updated ASX Group Dealing Rules Policy,2924-03072077-2A1662361,/Users/gazmart/code/asx-trading-policies/data/pdf/ASX.pdf,20597
SGP,STOCKLAND,10845132784,Equity Real Estate Investment Trusts (REITs),ok,asx,2025-06-12,Updated Security Trading Policy,2924-02956270-2A1601653,/Users/gazmart/code/asx-trading-policies/data/pdf/SGP.pdf,26189
SFR,SANDFIRE RESOURCES LIMITED,10772843423,Materials,ok,asx,2026-06-25,Securities Dealing Policy,2924-03104075-6A1331055,/Users/gazmart/code/asx-trading-policies/data/pdf/SFR.pdf,17646
TNE,TECHNOLOGY ONE LIMITED,10537993335,Software & Services,ok,asx,2026-02-19,Updated TNE Share Trading Policy,2924-03058631-2A1654610,/Users/gazmart/code/asx-trading-policies/data/pdf/TNE.pdf,7158
ORI,ORICA LIMITED,10457519387,Materials,ok,asx,2016-07-31,Revised Securities Dealing Policy,2995-01763094-3A453098,/Users/gazmart/code/asx-trading-policies/data/pdf/ORI.pdf,8562
ALD,AMPOL LIMITED,10437631936,Energy,ok,asx,2017-06-29,Securities Trading Policy,2995-01870011-2A1021564,/Users/gazmart/code/asx-trading-policies/data/pdf/ALD.pdf,15978
REH,REECE LIMITED,10259733843,Capital Goods,ok,asx,2023-04-30,Securities Dealing Policy (revised),2924-02660703-3A617471,/Users/gazmart/code/asx-trading-policies/data/pdf/REH.pdf,18133
NXT,NEXTDC LIMITED,10060307781,Software & Services,ok,asx,2015-12-17,New Securities Trading Policy,2995-01697754-2A898483,/Users/gazmart/code/asx-trading-policies/data/pdf/NXT.pdf,15386
CAR,CAR GROUP LIMITED,10045363136,Media & Entertainment,no_policy_found,,,,,,0
LNW,LIGHT & WONDER INC.,10010229596,Consumer Services,ok,asx,2025-11-13,Securities Trading Policy,2924-03022948-3A681331,/Users/gazmart/code/asx-trading-policies/data/pdf/LNW.pdf,22547
NXG,NEXGEN ENERGY (CANADA) LTD,9849734624,Energy,no_policy_found,,,,,,0
GMD,GENESIS MINERALS LIMITED,9783304512,Materials,ok,asx,2025-07-04,Securities Trading Policy,2924-02964433-6A1271701,/Users/gazmart/code/asx-trading-policies/data/pdf/GMD.pdf,27075
SHL,SONIC HEALTHCARE LIMITED,9706833397,Health Care Equipment & Services,ok,asx,2016-11-04,Securities Trading Policy,2995-01799064-2A982790,/Users/gazmart/code/asx-trading-policies/data/pdf/SHL.pdf,13469
GPT,GPT GROUP,9041525470,Equity Real Estate Investment Trusts (REITs),ok,asx,2024-06-02,Updated Securities Trading Policy,2924-02813352-2A1526567,/Users/gazmart/code/asx-trading-policies/data/pdf/GPT.pdf,17886
CHC,CHARTER HALL GROUP,9038976473,Equity Real Estate Investment Trusts (REITs),ok,asx,2024-09-20,Securities Trading Policy,2924-02855528-2A1549832,/Users/gazmart/code/asx-trading-policies/data/pdf/CHC.pdf,17768
COH,COCHLEAR LIMITED,8786344499,Health Care Equipment & Services,ok,asx,2023-02-16,Cochlear Limited - Revised Trading Policy,2924-02632611-2A1431312,/Users/gazmart/code/asx-trading-policies/data/pdf/COH.pdf,40296
PRU,PERSEUS MINING LIMITED,8772339169,Materials,ok,asx,2024-08-20,Securities Trading Policy Update,2924-02840732-6A1221261,/Users/gazmart/code/asx-trading-policies/data/pdf/PRU.pdf,24778
CDA,CODAN LIMITED,8709521844,Technology Hardware & Equipment,ok,asx,2015-05-21,Amended Share Trading Policy,2995-01627188-2A859004,/Users/gazmart/code/asx-trading-policies/data/pdf/CDA.pdf,17541
AFI,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,8502632460,Not Applic,ok,asx,2025-10-22,Securities Dealing Policy,2924-03011884-3A679469,/Users/gazmart/code/asx-trading-policies/data/pdf/AFI.pdf,11059
YAL,YANCOAL AUSTRALIA LIMITED,8199928904,Energy,ok,asx,2012-06-27,Share trading policy,2995-01309312-2A684089,/Users/gazmart/code/asx-trading-policies/data/pdf/YAL.pdf,16386
GGP,GREATLAND RESOURCES LIMITED,7954328186,Materials,ok,asx,2025-06-23,Securities Dealing Policy,2924-02959333-6A1269643,/Users/gazmart/code/asx-trading-policies/data/pdf/GGP.pdf,28756
MCY,MERCURY NZ LIMITED,7894726857,Utilities,no_policy_found,,,,,,0
CEN,CONTACT ENERGY LIMITED,7644277872,Utilities,no_policy_found,,,,,,0
CMM,CAPRICORN METALS LTD,7639200148,Materials,ok,asx,2021-09-29,Updated Trading Policy,2924-02428066-6A1052911,/Users/gazmart/code/asx-trading-policies/data/pdf/CMM.pdf,15311
TPG,TPG TELECOM LIMITED.,7439881426,Telecommunication Services,ok,asx,2020-06-29,Securities Trading Policy,2924-02249296-2A1233395,/Users/gazmart/code/asx-trading-policies/data/pdf/TPG.pdf,11923
RMS,RAMELIUS RESOURCES LIMITED,7367538064,Materials,ok,asx,2011-12-29,Trading Policy,2995-01257037-5A186453,/Users/gazmart/code/asx-trading-policies/data/pdf/RMS.pdf,20048
MGR,MIRVAC GROUP,7319570703,Equity Real Estate Investment Trusts (REITs),ok,asx,2026-08-18,Security Trading Policy,2924-03122407-2A1690188,/Users/gazmart/code/asx-trading-policies/data/pdf/MGR.pdf,26148
JBH,JB HI-FI LIMITED,7278363115,Consumer Discretionary Distribution & Retail,ok,asx,2024-10-29,Revised Securities Trading Policy,2924-02873726-3A654371,/Users/gazmart/code/asx-trading-policies/data/pdf/JBH.pdf,47141
WHC,WHITEHAVEN COAL LIMITED,7113100602,Energy,ok,asx,2019-03-20,Amended Securities Trading Policy,2995-02088431-2A1139996,/Users/gazmart/code/asx-trading-policies/data/pdf/WHC.pdf,13682
ARG,ARGO INVESTMENTS LIMITED,7072967904,Not Applic,ok,asx,2024-12-13,Updated Securities Trading Policy,2924-02894476-2A1568442,/Users/gazmart/code/asx-trading-policies/data/pdf/ARG.pdf,11789
VAU,VAULT MINERALS LIMITED,6983319791,Materials,ok,asx,2015-08-07,Updated securities trading policy,2995-01648695-6A729519,/Users/gazmart/code/asx-trading-policies/data/pdf/VAU.pdf,9140
DNL,DYNO NOBEL LIMITED.,6778558350,Materials,ok,asx,2023-09-01,Revised Securities Trading Policy,2924-02706692-3A625241,/Users/gazmart/code/asx-trading-policies/data/pdf/DNL.pdf,18405
ALX,ATLAS ARTERIA,6598860349,Transportation,ok,asx,2025-02-20,Updated Securities Trading Policy,2924-02915390-2A1579440,/Users/gazmart/code/asx-trading-policies/data/pdf/ALX.pdf,17440
SDF,STEADFAST GROUP LIMITED,6494031108,Insurance,ok,asx,2025-08-06,Revised Securities Trading Policy,2924-02975880-2A1612293,/Users/gazmart/code/asx-trading-policies/data/pdf/SDF.pdf,22645
CGF,CHALLENGER LIMITED,6475056569,Financial Services,ok,asx,2018-12-10,Challenger Staff Trading Policy,2995-02058233-2A1123032,/Users/gazmart/code/asx-trading-policies/data/pdf/CGF.pdf,43646
IGO,IGO LIMITED,6467067123,Materials,ok,asx,2019-06-28,Revised Dealing in Securities Standard,2924-02118765-6A935143,/Users/gazmart/code/asx-trading-policies/data/pdf/IGO.pdf,16671
RRL,REGIS RESOURCES LIMITED,6388223385,Materials,ok,asx,2010-12-23,Securities Trading Policy,2995-01137078-6A522438,/Users/gazmart/code/asx-trading-policies/data/pdf/RRL.pdf,13393
DXS,DEXUS,6305800468,Equity Real Estate Investment Trusts (REITs),ok,asx,2021-10-08,Securities trading policy update,2924-02433185-2A1329792,/Users/gazmart/code/asx-trading-policies/data/pdf/DXS.pdf,16890
AZJ,AURIZON HOLDINGS LIMITED,6211403874,Transportation,ok,asx,2018-04-18,Aurizon Securities Dealing Policy,2995-01972450-2A1076975,/Users/gazmart/code/asx-trading-policies/data/pdf/AZJ.pdf,14824
PAF,PAN AFRICAN RESOURCES PLC,6163871764,Class Pend,no_policy_found,,,,,,0
WGX,WESTGOLD RESOURCES LIMITED.,6098833261,Materials,ok,asx,2026-07-31,Revised Securities Trading Policy,2924-03116906-6A1336811,/Users/gazmart/code/asx-trading-policies/data/pdf/WGX.pdf,29429
BEN,BENDIGO AND ADELAIDE BANK LIMITED,6079364852,Banks,ok,asx,2026-01-05,BEN Securities Trading Policy,2924-03043234-3A684895,/Users/gazmart/code/asx-trading-policies/data/pdf/BEN.pdf,18348
HUB,HUB24 LIMITED,6033269267,Financial Services,ok,asx,2025-04-08,HUB24 Securities Trading Policy,2924-02934284-2A1590226,/Users/gazmart/code/asx-trading-policies/data/pdf/HUB.pdf,29141
APE,EAGERS AUTOMOTIVE LIMITED,6019975706,Consumer Discretionary Distribution & Retail,ok,asx,2025-07-29,Securities Trading Policy,2924-02972046-2A1610398,/Users/gazmart/code/asx-trading-policies/data/pdf/APE.pdf,9071
AMP,AMP LIMITED,5984668662,Financial Services,ok,asx,2023-08-14,AMP Trading Policy,2924-02697438-2A1466387,/Users/gazmart/code/asx-trading-policies/data/pdf/AMP.pdf,27060
AGL,AGL ENERGY LIMITED.,5839445982,Utilities,ok,asx,2023-05-12,Updated Securities Dealing Policy,2924-02665593-2A1449194,/Users/gazmart/code/asx-trading-policies/data/pdf/AGL.pdf,30605
ANN,ANSELL LIMITED,5807589465,Health Care Equipment & Services,ok,asx,2023-06-19,Ansell Limited - Revised Securities Trading Policy,2924-02677648-3A620278,/Users/gazmart/code/asx-trading-policies/data/pdf/ANN.pdf,17912
EDV,ENDEAVOUR GROUP LIMITED,5764279410,Consumer Staples Distribution & Retail,ok,asx,2022-12-22,Revised Securities Trading Policy,2924-02616104-2A1422167,/Users/gazmart/code/asx-trading-policies/data/pdf/EDV.pdf,22305
CWY,CLEANAWAY WASTE MANAGEMENT LIMITED,5759909096,Commercial & Professional Services,ok,asx,2024-08-27,Securities Trading Policy,2924-02844073-3A648955,/Users/gazmart/code/asx-trading-policies/data/pdf/CWY.pdf,19507
PDN,PALADIN ENERGY LTD,5217051268,Energy,ok,asx,2025-05-16,Revised Trading in Company Securities Policy,2924-02947581-6A1264913,/Users/gazmart/code/asx-trading-policies/data/pdf/PDN.pdf,27978
HVN,HARVEY NORMAN HOLDINGS LIMITED,5195847747,Consumer Discretionary Distribution & Retail,ok,asx,2016-02-29,Share Trading Policy,2995-01717405-2A909572,/Users/gazmart/code/asx-trading-policies/data/pdf/HVN.pdf,17528
EF2,ENERGY FUELS INC.,5192651891,Class Pend,no_policy_found,,,,,,0
TLX,TELIX PHARMACEUTICALS LIMITED,5188506169,"Pharmaceuticals, Biotechnology & Life Sciences",ok,asx,2025-12-14,Securities Dealing Policy - Updated,2924-03037208-3A683840,/Users/gazmart/code/asx-trading-policies/data/pdf/TLX.pdf,36240
NHC,NEW HOPE CORPORATION LIMITED,5155453360,Energy,ok,asx,2022-07-28,Revised Securities Trading Policy,2924-02546704-2A1387456,/Users/gazmart/code/asx-trading-policies/data/pdf/NHC.pdf,18356
SEK,SEEK LIMITED,5126133121,Media & Entertainment,ok,asx,2025-09-01,Revised Share Trading Policy,2924-02987786-3A675363,/Users/gazmart/code/asx-trading-policies/data/pdf/SEK.pdf,19634
NWL,NETWEALTH GROUP LIMITED,5084619686,Financial Services,ok,asx,2021-06-09,Netwealth Trading Policy,2924-02383328-3A568646,/Users/gazmart/code/asx-trading-policies/data/pdf/NWL.pdf,26852
VEA,VIVA ENERGY GROUP LIMITED,4993263645,Energy,ok,asx,2019-10-25,Securities Trading Policy,2924-02164204-3A527421,/Users/gazmart/code/asx-trading-policies/data/pdf/VEA.pdf,21987
360,LIFE360 INC.,4928447888,Software & Services,ok,asx,2024-03-05,Updated Trading Policy,2924-02781280-2A1509716,/Users/gazmart/code/asx-trading-policies/data/pdf/360.pdf,25561
WOR,WORLEY LIMITED,4886355234,Capital Goods,ok,asx,2025-05-09,Revised Securities Dealing Policy,2924-02945244-2A1595812,/Users/gazmart/code/asx-trading-policies/data/pdf/WOR.pdf,10864
A2M,THE A2 MILK COMPANY LIMITED,4827010286,"Food, Beverage & Tobacco",ok,asx,2020-08-07,Revised Securities Trading Policy,2924-02264378-2A1241291,/Users/gazmart/code/asx-trading-policies/data/pdf/A2M.pdf,14046
BRG,BREVILLE GROUP LIMITED,4786914441,Consumer Durables & Apparel,ok,asx,2022-07-11,BRG Revised Securities Trading Policy,2924-02541079-2A1384848,/Users/gazmart/code/asx-trading-policies/data/pdf/BRG.pdf,17331
SGM,SIMS LIMITED,4774787208,Materials,ok,asx,2024-11-18,Revised Securities Trading Policy,2924-02882269-2A1562766,/Users/gazmart/code/asx-trading-policies/data/pdf/SGM.pdf,14716
EMR,EMERALD RESOURCES NL,4691791895,Materials,ok,asx,2016-05-13,Securities Trading Policy,2995-01740779-6A763879,/Users/gazmart/code/asx-trading-policies/data/pdf/EMR.pdf,11221
ATM,PT ANTAM (PERSERO) TBK,4519009198,Materials,ok,asx,2010-12-30,Securities Trading Policy,2995-01138547-2A619640,/Users/gazmart/code/asx-trading-policies/data/pdf/ATM.pdf,19159
TWE,TREASURY WINE ESTATES LIMITED,4481512420,"Food, Beverage & Tobacco",ok,asx,2022-04-20,TWE Share Trading Policy,2924-02512089-3A591995,/Users/gazmart/code/asx-trading-policies/data/pdf/TWE.pdf,16527
VNT,VENTIA SERVICES GROUP LIMITED,4448964567,Capital Goods,ok,asx,2021-11-18,Securities Dealing Policy,2924-02454398-2A1339894,/Users/gazmart/code/asx-trading-policies/data/pdf/VNT.pdf,16062
WAF,WEST AFRICAN RESOURCES LIMITED,4392011551,Materials,ok,asx,2010-12-30,Securities Trading Policy,2995-01138688-6A523169,/Users/gazmart/code/asx-trading-policies/data/pdf/WAF.pdf,15121
XYZ,"BLOCK, INC.",4347378585,Financial Services,no_policy_found,,,,,,0
BOQ,BANK OF QUEENSLAND LIMITED.,4339239625,Banks,ok,asx,2024-09-19,Securities Trading Policy,2924-02854661-2A1549385,/Users/gazmart/code/asx-trading-policies/data/pdf/BOQ.pdf,38637
DOW,DOWNER EDI LIMITED,4316520000,Commercial & Professional Services,ok,asx,2019-12-09,Securities Trading Policy,2924-02183462-2A1191968,/Users/gazmart/code/asx-trading-policies/data/pdf/DOW.pdf,25985
PDIDB,PREDICTIVE DISCOVERY LIMITED,4149664835,Materials,ok,asx,2017-06-16,Revised Share Trading Policy,2995-01866136-6A824334,/Users/gazmart/code/asx-trading-policies/data/pdf/PDIDB.pdf,9231
LTR,LIONTOWN LIMITED,4148739785,Materials,ok,asx,2025-12-19,Revised Securities Trading Policy,2924-03039918-6A1304503,/Users/gazmart/code/asx-trading-policies/data/pdf/LTR.pdf,38440
MP1,MEGAPORT LIMITED,4039069258,Software & Services,ok,asx,2025-11-10,Securities Trading Policy,2924-03021314-2A1635300,/Users/gazmart/code/asx-trading-policies/data/pdf/MP1.pdf,17860
BFL,BSP FINANCIAL GROUP LIMITED,3751776431,Banks,ok,asx,2023-08-17,Revised Securities Dealing Policy,2924-02698999-2A1467214,/Users/gazmart/code/asx-trading-policies/data/pdf/BFL.pdf,23694
NIC,NICKEL INDUSTRIES LIMITED,3734064853,Materials,ok,asx,2024-07-09,Updated Securities Trading Policy,2924-02826562-2A1535023,/Users/gazmart/code/asx-trading-policies/data/pdf/NIC.pdf,16727
AUB,AUB GROUP LIMITED,3732399571,Insurance,ok,asx,2026-06-22,Securities Trading Policy,2924-03102688-2A1678625,/Users/gazmart/code/asx-trading-policies/data/pdf/AUB.pdf,16531
GQG,GQG PARTNERS INC.,3727097567,Financial Services,ok,asx,2023-08-23,Updated Securities Dealing Policy,2924-02701299-2A1468456,/Users/gazmart/code/asx-trading-policies/data/pdf/GQG.pdf,19124
